Time,X,Y,Z,Pitch,Yaw,Roll,errorHeight,errorRoll,errorPitch,errorYaw,HLeadOut,HIntegralOut,HeightError
0.255,-0.032,2.827,0.389,0.008,-0.038,0.005,462.120,-0.076,-0.207,0.013,0.388,0.000,"-3.611
"
0.512,-0.032,2.826,0.413,0.019,-0.049,-0.006,455.918,0.067,-0.061,0.051,0.413,0.000,"-3.587
"
0.776,-0.017,2.822,0.572,0.026,-0.068,-0.011,441.246,0.392,-1.057,0.264,0.572,0.000,"-3.428
"
1.035,0.011,2.811,0.806,-0.003,-0.076,-0.008,437.383,0.855,-1.867,0.437,0.801,0.000,"-3.194
"
1.296,0.022,2.801,0.948,-0.007,-0.087,-0.007,436.808,1.245,-1.539,0.510,0.948,0.000,"-3.052
"
1.565,0.026,2.789,1.059,0.008,-0.092,-0.003,443.362,1.417,-1.175,0.547,1.040,0.000,"-2.941
"
1.822,0.028,2.771,1.164,0.020,-0.097,-0.008,449.912,1.818,-0.962,0.637,1.153,0.000,"-2.836
"
2.075,0.035,2.756,1.225,0.018,-0.105,-0.009,452.754,2.092,-1.203,0.692,1.214,0.000,"-2.775
"
2.341,0.044,2.741,1.279,0.015,-0.102,-0.004,452.305,2.520,-1.623,0.731,1.274,0.000,"-2.721
"
2.602,0.057,2.724,1.333,0.014,-0.107,-0.010,452.347,2.948,-1.925,0.753,1.326,0.000,"-2.667
"
2.867,0.069,2.708,1.384,0.014,-0.107,-0.006,452.781,3.000,-2.115,0.781,1.378,0.000,"-2.616
"
3.124,0.081,2.688,1.437,0.013,-0.108,-0.012,452.633,3.000,-2.254,0.809,1.432,0.000,"-2.563
"
3.387,0.095,2.660,1.492,0.008,-0.112,-0.021,455.116,3.000,-2.287,0.826,1.477,0.000,"-2.508
"
3.651,0.109,2.620,1.553,0.005,-0.116,-0.020,452.569,3.000,-2.436,0.846,1.546,0.000,"-2.447
"
3.904,0.121,2.568,1.613,0.010,-0.118,-0.027,453.081,3.000,-2.271,0.879,1.605,0.000,"-2.387
"
4.165,0.132,2.505,1.671,0.011,-0.122,-0.034,452.195,3.000,-2.195,0.928,1.662,0.000,"-2.329
"
4.424,0.147,2.421,1.728,0.017,-0.122,-0.032,454.530,3.000,-2.337,0.960,1.726,0.000,"-2.272
"
4.686,0.168,2.313,1.782,0.013,-0.123,-0.037,454.731,3.000,-2.573,0.983,1.777,0.000,"-2.218
"
4.953,0.192,2.202,1.825,0.015,-0.124,-0.039,456.202,3.000,-2.890,0.969,1.823,0.000,"-2.175
"
5.203,0.227,2.034,1.882,0.011,-0.124,-0.043,454.868,3.000,-3.000,0.957,1.882,0.000,"-2.118
"
5.454,0.252,1.897,1.921,0.013,-0.121,-0.046,457.171,3.000,-3.000,0.950,1.919,0.000,"-2.079
"
5.708,0.283,1.721,1.968,0.020,-0.121,-0.049,458.484,3.000,-3.000,0.945,1.965,0.000,"-2.032
"
5.974,0.329,1.491,2.023,0.041,-0.133,-0.075,454.879,3.000,-3.000,0.992,2.019,0.000,"-1.977
"
6.234,0.394,1.237,2.000,0.046,-0.151,-0.103,469.498,3.000,-3.000,1.164,2.004,0.000,"-2.000
"
6.490,1.061,0.162,1.721,0.038,-0.067,0.025,446.675,3.000,-3.000,0.823,1.721,0.000,"-2.279
"
6.746,1.209,0.092,1.719,0.005,0.066,0.010,466.157,3.000,-3.000,-0.535,1.740,0.000,"-2.281
"
6.998,1.338,0.052,1.504,0.006,0.150,0.011,503.169,3.000,-3.000,-1.650,1.523,0.000,"-2.496
"
7.250,1.453,0.029,1.301,0.023,0.195,0.022,490.073,3.000,-3.000,-2.418,1.323,0.000,"-2.699
"
7.519,1.570,0.025,1.053,0.024,0.227,0.026,498.477,3.000,-3.000,-2.883,1.079,0.000,"-2.947
"
7.779,1.699,0.036,0.727,0.026,0.256,0.004,506.287,3.000,-3.000,-3.214,0.779,0.000,"-3.273
"
8.035,1.852,0.062,0.506,0.038,0.278,0.012,483.054,3.000,-3.000,-3.524,0.519,0.000,"-3.494
"
8.286,2.001,0.098,0.482,-0.005,0.288,-0.014,463.724,3.000,-3.000,-3.707,0.479,0.000,"-3.518
"
8.536,2.251,0.159,0.424,0.058,0.314,0.015,470.911,3.000,-3.000,-3.908,0.414,0.000,"-3.576
"
8.786,2.267,0.185,0.411,-0.008,0.334,-0.005,462.379,3.000,-3.000,-4.362,0.411,0.000,"-3.589
"
9.048,2.285,0.179,0.415,0.039,0.338,0.003,462.167,3.000,-3.000,-4.350,0.414,0.000,"-3.585
"
9.298,2.268,0.185,0.411,-0.006,0.341,-0.003,462.618,3.000,-3.000,-4.358,0.411,0.000,"-3.589
"
9.552,2.284,0.180,0.414,0.037,0.341,0.000,461.854,3.000,-3.000,-4.358,0.413,0.000,"-3.586
"
9.810,2.272,0.183,0.412,0.001,0.341,0.002,462.671,3.000,-3.000,-4.355,0.412,0.000,"-3.588
"
