Time,X,Y,Z,Pitch,Yaw,Roll,errorHeight,errorRoll,errorPitch,errorYaw,HLeadOut,HIntegralOut,HeightError
0.251,0.140,0.487,0.432,0.029,0.011,-0.020,87.003,-0.011,-0.089,0.037,0.432,0.000,"-2.568
"
0.502,0.141,0.487,0.436,0.035,0.012,-0.012,87.002,0.015,-0.079,0.016,0.434,0.000,"-2.564
"
0.752,0.143,0.513,0.459,0.064,0.008,0.044,86.996,-1.002,-0.145,0.051,0.450,0.000,"-2.541
"
1.003,0.149,0.567,0.526,0.056,0.000,0.032,86.974,-3.510,-0.421,0.115,0.507,0.000,"-2.474
"
1.254,0.162,0.652,0.644,0.048,-0.008,-0.026,86.935,-5.804,-0.981,0.215,0.608,0.000,"-2.356
"
1.505,0.174,0.720,0.769,0.036,-0.011,-0.068,86.880,-7.907,-1.377,0.281,0.748,0.000,"-2.231
"
1.755,0.184,0.783,0.956,0.026,-0.011,-0.103,86.813,-7.570,-1.254,0.311,0.918,0.000,"-2.044
"
2.006,0.184,0.797,1.116,0.037,-0.018,-0.102,86.751,-5.581,-0.878,0.346,1.077,0.000,"-1.884
"
2.257,0.179,0.773,1.253,0.049,-0.020,-0.066,86.699,-3.273,-0.457,0.380,1.212,0.000,"-1.747
"
2.550,0.173,0.718,1.392,0.046,-0.017,-0.035,86.641,-1.739,-0.421,0.385,1.358,0.000,"-1.608
"
2.802,0.171,0.672,1.486,0.048,-0.019,-0.015,86.601,-1.312,-0.522,0.396,1.463,0.000,"-1.514
"
3.053,0.169,0.636,1.562,0.043,-0.022,-0.014,86.567,-0.499,-0.429,0.416,1.548,0.000,"-1.438
"
3.304,0.169,0.608,1.631,0.049,-0.021,-0.007,86.539,-0.586,-0.487,0.408,1.619,0.000,"-1.369
"
3.556,0.169,0.592,1.687,0.046,-0.024,-0.026,86.518,-0.928,-0.520,0.446,1.673,0.000,"-1.313
"
3.807,0.171,0.585,1.721,0.047,-0.025,-0.035,86.503,-1.230,-0.658,0.474,1.712,0.000,"-1.279
"
4.058,0.175,0.578,1.738,0.050,-0.025,-0.042,86.494,-1.131,-0.747,0.476,1.735,0.000,"-1.262
"
4.309,0.180,0.566,1.740,0.050,-0.026,-0.040,86.492,-0.800,-0.854,0.499,1.741,0.000,"-1.260
"
4.561,0.185,0.549,1.728,0.046,-0.031,-0.041,86.496,-0.529,-0.899,0.510,1.731,0.000,"-1.272
"
4.812,0.190,0.527,1.708,0.045,-0.031,-0.036,86.503,-0.008,-0.986,0.528,1.713,0.000,"-1.292
"
5.064,0.195,0.504,1.677,0.050,-0.033,-0.039,86.514,0.348,-1.043,0.533,1.684,0.000,"-1.323
"
5.315,0.200,0.479,1.632,0.041,-0.033,-0.035,86.530,0.800,-1.063,0.545,1.643,0.000,"-1.368
"
5.567,0.206,0.457,1.578,0.043,-0.031,-0.033,86.550,1.013,-1.166,0.540,1.592,0.000,"-1.422
"
5.818,0.210,0.437,1.516,0.042,-0.032,-0.032,86.574,1.286,-1.207,0.543,1.531,0.000,"-1.484
"
