Time,X,Y,Z,Pitch,Yaw,Roll,errorHeight,errorRoll,errorPitch,errorYaw,HLeadOut,HIntegralOut,HeightError
0.252,-0.349,0.859,0.425,0.016,-0.090,-0.014,83.838,0.003,-0.016,0.021,0.425,19.968,"-2.575
"
0.504,-0.344,0.858,0.426,0.027,-0.088,-0.018,83.867,0.052,-0.065,0.077,0.425,21.458,"-2.574
"
0.755,-0.352,0.870,0.433,0.020,-0.086,0.018,83.896,-0.204,0.053,0.053,0.427,22.947,"-2.567
"
1.007,-0.365,0.922,0.462,0.042,-0.091,0.058,83.923,-0.362,0.039,0.053,0.436,24.434,"-2.538
"
1.259,-0.382,0.997,0.503,0.045,-0.105,0.011,83.947,-6.073,0.781,0.188,0.464,25.909,"-2.497
"
1.510,-0.400,1.099,0.562,0.057,-0.117,-0.065,83.968,-8.594,0.632,0.331,0.507,27.365,"-2.438
"
1.762,-0.407,1.168,0.611,0.055,-0.127,-0.127,83.988,-9.880,0.232,0.451,0.556,28.793,"-2.389
"
2.014,-0.404,1.203,0.639,0.038,-0.129,-0.124,84.007,-7.272,-0.205,0.513,0.602,30.193,"-2.361
"
2.266,-0.395,1.190,0.636,0.038,-0.125,-0.084,84.030,-4.858,-0.254,0.511,0.625,31.572,"-2.364
"
2.517,-0.384,1.147,0.613,0.036,-0.132,-0.047,84.057,-2.961,-0.256,0.519,0.625,32.945,"-2.387
"
2.769,-0.375,1.098,0.580,0.036,-0.132,-0.013,84.089,-2.293,-0.170,0.562,0.606,34.416,"-2.420
"
3.021,-0.368,1.062,0.545,0.051,-0.134,0.001,84.121,-1.998,-0.192,0.596,0.577,35.809,"-2.455
"
3.273,-0.358,1.042,0.507,0.051,-0.141,-0.002,84.154,-2.121,-0.551,0.646,0.543,37.220,"-2.493
"
3.525,-0.345,1.042,0.474,0.038,-0.143,-0.001,84.188,-2.781,-1.081,0.697,0.509,38.652,"-2.526
"
3.777,-0.330,1.057,0.441,0.040,-0.148,-0.018,84.223,-3.340,-1.233,0.724,0.474,40.103,"-2.559
"
4.030,-0.327,1.081,0.435,0.042,-0.140,-0.005,84.256,-4.795,-1.099,0.684,0.449,41.573,"-2.565
"
4.281,-0.331,1.097,0.456,0.039,-0.139,-0.053,84.285,-4.918,-0.776,0.652,0.448,43.050,"-2.544
"
4.533,-0.333,1.110,0.489,0.046,-0.146,-0.075,84.311,-4.573,-0.789,0.703,0.464,44.523,"-2.511
"
4.784,-0.334,1.109,0.513,0.035,-0.144,-0.048,84.335,-3.780,-0.739,0.693,0.488,45.983,"-2.487
"
5.036,-0.333,1.101,0.527,0.037,-0.143,-0.032,84.360,-2.953,-0.670,0.696,0.510,47.430,"-2.473
"
5.287,-0.332,1.085,0.545,0.048,-0.145,-0.037,84.385,-2.674,-0.722,0.713,0.528,48.865,"-2.455
"
5.538,-0.329,1.080,0.551,0.059,-0.147,-0.037,84.410,-2.594,-1.136,0.743,0.542,50.292,"-2.449
"
5.790,-0.317,1.072,0.549,0.031,-0.143,-0.020,84.436,-2.797,-1.474,0.713,0.549,51.712,"-2.451
"
6.041,-0.309,1.073,0.543,0.037,-0.148,-0.027,84.465,-3.155,-1.817,0.725,0.547,53.130,"-2.457
"
6.293,-0.302,1.076,0.525,0.035,-0.146,-0.043,84.494,-3.294,-1.643,0.733,0.537,54.552,"-2.475
"
6.544,-0.302,1.075,0.510,0.030,-0.143,-0.034,84.524,-3.294,-1.221,0.707,0.524,55.980,"-2.490
"
6.796,-0.303,1.067,0.486,0.042,-0.142,-0.042,84.556,-2.883,-1.124,0.681,0.505,57.418,"-2.514
"
7.047,-0.302,1.056,0.470,0.050,-0.141,-0.035,84.587,-2.324,-1.059,0.697,0.488,58.867,"-2.530
"
7.299,-0.299,1.048,0.462,0.052,-0.137,-0.026,84.618,-2.065,-1.340,0.652,0.473,60.325,"-2.538
"
7.550,-0.286,1.035,0.454,0.050,-0.135,-0.015,84.648,-1.996,-1.846,0.633,0.463,61.790,"-2.546
"
7.801,-0.268,1.032,0.455,0.053,-0.131,-0.023,84.678,-2.157,-2.476,0.563,0.457,63.260,"-2.545
"
8.053,-0.256,1.034,0.461,0.033,-0.130,-0.027,84.708,-2.499,-2.813,0.552,0.458,64.829,"-2.539
"
8.305,-0.238,1.034,0.479,0.034,-0.123,-0.030,84.736,-2.478,-2.733,0.511,0.467,66.298,"-2.521
"
8.556,-0.226,1.032,0.498,0.045,-0.126,-0.036,84.762,-2.284,-2.909,0.493,0.480,67.760,"-2.502
"
8.807,-0.224,1.028,0.505,0.033,-0.127,-0.042,84.788,-1.880,-2.512,0.516,0.495,69.213,"-2.495
"
9.059,-0.222,1.015,0.526,0.037,-0.121,-0.024,84.813,-1.510,-2.271,0.469,0.511,70.658,"-2.474
"
9.310,-0.229,1.003,0.536,0.025,-0.126,-0.024,84.839,-1.281,-1.455,0.502,0.525,72.094,"-2.464
"
9.562,-0.241,0.995,0.540,0.042,-0.133,-0.018,84.865,-1.520,-1.106,0.565,0.534,73.523,"-2.460
"
9.814,-0.262,0.990,0.534,0.051,-0.134,-0.031,84.893,-1.840,-0.637,0.599,0.535,74.949,"-2.466
"
10.065,-0.271,0.990,0.523,0.071,-0.133,-0.033,84.921,-1.879,-0.803,0.594,0.532,76.376,"-2.477
"
10.317,-0.269,0.992,0.503,0.064,-0.139,-0.050,84.951,-2.018,-1.552,0.601,0.520,77.807,"-2.497
"
10.568,-0.256,0.993,0.493,0.063,-0.136,-0.042,84.982,-1.855,-2.417,0.636,0.505,79.246,"-2.507
"
10.820,-0.234,0.988,0.485,0.032,-0.132,-0.036,85.012,-1.277,-3.342,0.615,0.494,80.693,"-2.515
"
11.071,-0.214,0.982,0.483,0.023,-0.133,-0.022,85.041,-1.160,-3.301,0.574,0.488,82.145,"-2.517
"
11.323,-0.208,0.977,0.486,0.020,-0.131,-0.015,85.070,-1.197,-2.844,0.561,0.486,83.600,"-2.514
"
11.574,-0.209,0.973,0.491,0.026,-0.132,-0.027,85.098,-1.182,-2.406,0.570,0.488,85.054,"-2.509
"
11.826,-0.222,0.971,0.510,0.038,-0.133,-0.022,85.125,-1.422,-1.765,0.573,0.495,86.506,"-2.490
"
12.077,-0.233,0.972,0.525,0.057,-0.135,-0.040,85.151,-1.642,-1.413,0.581,0.509,87.951,"-2.475
"
12.329,-0.239,0.976,0.540,0.059,-0.134,-0.034,85.176,-1.934,-1.519,0.594,0.525,89.388,"-2.460
"
12.580,-0.238,0.985,0.557,0.055,-0.132,-0.038,85.202,-2.036,-1.946,0.567,0.540,90.816,"-2.443
"
12.832,-0.232,0.991,0.566,0.043,-0.130,-0.042,85.227,-2.126,-2.459,0.569,0.554,92.235,"-2.434
"
13.083,-0.222,0.997,0.565,0.039,-0.127,-0.039,85.253,-2.112,-2.746,0.528,0.561,93.648,"-2.435
"
13.335,-0.218,0.996,0.562,0.031,-0.129,-0.050,85.281,-1.878,-2.726,0.537,0.563,95.058,"-2.438
"
13.586,-0.220,0.993,0.556,0.028,-0.125,-0.036,85.311,-1.599,-2.164,0.506,0.560,96.563,"-2.444
"
13.838,-0.226,0.985,0.541,0.041,-0.130,-0.033,85.339,-1.374,-1.754,0.525,0.552,97.977,"-2.459
"
14.089,-0.232,0.981,0.522,0.058,-0.130,-0.031,85.369,-1.405,-1.685,0.538,0.539,99.396,"-2.478
"
14.341,-0.234,0.981,0.505,0.046,-0.128,-0.016,85.400,-1.741,-1.964,0.532,0.524,100.824,"-2.495
"
14.592,-0.228,0.987,0.491,0.054,-0.131,-0.019,85.431,-2.070,-2.592,0.533,0.507,102.262,"-2.509
"
14.844,-0.224,0.993,0.480,0.038,-0.132,-0.036,85.462,-2.184,-2.575,0.576,0.494,103.708,"-2.520
"
15.095,-0.218,0.999,0.478,0.035,-0.135,-0.048,85.492,-2.194,-2.712,0.591,0.484,105.162,"-2.522
"
15.347,-0.215,1.003,0.486,0.039,-0.132,-0.029,85.520,-2.161,-2.582,0.572,0.483,106.618,"-2.514
"
15.599,-0.217,1.002,0.500,0.039,-0.130,-0.026,85.548,-1.998,-2.261,0.568,0.489,108.073,"-2.500
"
15.850,-0.217,0.999,0.519,0.055,-0.131,-0.037,85.574,-1.746,-2.264,0.562,0.502,109.523,"-2.481
"
16.101,-0.218,0.997,0.542,0.037,-0.132,-0.026,85.599,-1.742,-2.249,0.579,0.520,110.963,"-2.458
"
16.353,-0.217,0.996,0.562,0.042,-0.135,-0.030,85.623,-1.829,-2.418,0.579,0.540,112.393,"-2.438
"
16.604,-0.216,0.996,0.570,0.051,-0.135,-0.031,85.648,-1.866,-2.483,0.605,0.558,113.811,"-2.430
"
16.855,-0.217,0.998,0.587,0.041,-0.138,-0.035,85.673,-1.923,-2.349,0.631,0.573,115.219,"-2.413
"
17.107,-0.219,1.001,0.587,0.041,-0.140,-0.026,85.698,-2.061,-2.289,0.661,0.582,116.620,"-2.413
"
17.359,-0.221,0.999,0.577,0.039,-0.144,-0.044,85.726,-1.849,-2.201,0.686,0.582,118.019,"-2.423
"
17.610,-0.226,0.994,0.561,0.039,-0.143,-0.039,85.754,-1.664,-1.958,0.707,0.575,119.419,"-2.439
"
17.862,-0.231,0.988,0.548,0.042,-0.148,-0.041,85.784,-1.369,-1.780,0.732,0.562,120.826,"-2.452
"
18.113,-0.239,0.978,0.532,0.046,-0.154,-0.038,85.814,-1.087,-1.424,0.772,0.549,122.241,"-2.468
"
