Time,X,Y,Z,Pitch,Yaw,Roll,errorHeight,errorRoll,errorPitch,errorYaw,HLeadOut,HIntegralOut,HeightError
0.253,-0.109,0.902,0.427,0.038,0.230,-0.025,484.474,-0.009,-0.039,0.047,0.426,0.000,"-3.573
"
0.505,-0.111,0.902,0.428,0.029,0.227,0.001,484.455,-0.060,0.062,0.073,0.428,0.000,"-3.572
"
0.758,-0.105,0.923,0.473,0.055,0.227,0.047,484.024,-0.922,-0.018,0.064,0.463,0.000,"-3.527
"
1.010,-0.093,0.979,0.592,0.048,0.213,0.033,482.685,-2.714,-0.064,0.158,0.570,0.000,"-3.408
"
1.263,-0.071,1.070,0.781,0.051,0.219,-0.022,480.461,-5.017,-0.156,0.237,0.749,0.000,"-3.219
"
1.516,-0.049,1.169,1.025,0.049,0.211,-0.062,477.526,-7.111,0.373,0.195,0.985,0.000,"-2.975
"
1.769,-0.032,1.253,1.301,-0.002,0.169,-0.034,474.223,-8.099,0.114,0.402,1.250,0.000,"-2.699
"
2.023,-0.030,1.299,1.558,0.042,0.202,-0.115,470.984,-7.741,-0.206,0.437,1.510,0.000,"-2.442
"
2.276,-0.036,1.305,1.784,0.049,0.203,-0.111,467.983,-6.625,0.188,0.459,1.752,0.000,"-2.216
"
2.529,-0.051,1.269,2.016,0.057,0.197,-0.095,465.207,-4.693,0.418,0.372,1.975,0.000,"-1.984
"
2.781,-0.065,1.207,2.210,0.057,0.203,-0.056,462.713,-2.867,0.505,0.538,2.175,0.000,"-1.790
"
3.034,-0.078,1.131,2.377,0.060,0.202,-0.038,460.577,-0.819,0.132,0.359,2.347,0.000,"-1.623
"
3.288,-0.085,1.061,2.518,0.051,0.215,-0.009,458.763,-0.889,0.021,0.341,2.492,0.000,"-1.482
"
3.541,-0.087,1.003,2.628,0.047,0.199,-0.002,457.300,-0.359,-0.226,0.393,2.610,0.000,"-1.372
"
3.794,-0.085,0.965,2.707,0.043,0.198,-0.006,456.246,-0.115,-0.351,0.220,2.695,0.000,"-1.293
"
4.047,-0.079,0.945,2.753,0.049,0.198,-0.021,455.613,0.473,-0.377,0.380,2.745,0.000,"-1.247
"
4.300,-0.070,0.940,2.762,0.040,0.198,-0.004,455.405,-0.368,-0.994,0.312,2.762,0.000,"-1.238
"
4.553,-0.063,0.941,2.736,0.035,0.211,-0.030,455.635,-1.940,-1.309,0.551,2.744,0.000,"-1.264
"
4.807,-0.065,0.946,2.683,0.020,0.324,0.111,456.242,-0.963,-0.533,0.195,2.695,0.000,"-1.317
"
5.060,-0.068,0.952,2.592,0.038,0.197,-0.042,457.345,-1.034,-0.419,0.295,2.606,0.000,"-1.408
"
5.313,-0.078,0.948,2.480,0.052,0.200,-0.042,458.690,-1.294,-0.495,0.611,2.498,0.000,"-1.520
"
5.566,-0.086,0.937,2.344,0.064,0.208,-0.046,460.283,0.066,-0.084,0.252,2.370,0.000,"-1.656
"
5.819,-0.085,0.920,2.189,0.074,0.216,-0.046,462.215,0.036,-0.442,0.323,2.215,0.000,"-1.811
"
6.072,-0.076,0.897,2.018,0.051,0.207,-0.040,464.336,0.521,-1.094,0.156,2.045,0.000,"-1.982
"
6.325,-0.065,0.870,1.839,0.036,0.226,-0.040,466.531,0.581,-1.495,0.016,1.868,0.000,"-2.161
"
6.578,-0.060,0.840,1.650,0.027,0.220,-0.038,468.816,1.648,-1.401,0.163,1.685,0.000,"-2.350
"
6.831,-0.064,0.813,1.460,0.037,0.222,-0.030,471.293,1.711,-1.278,0.271,1.485,0.000,"-2.540
"
7.084,-0.076,0.786,1.249,0.041,0.224,-0.032,473.825,2.288,-0.690,0.071,1.282,0.000,"-2.751
"
7.338,-0.097,0.765,1.043,-0.004,0.350,0.204,476.384,2.797,-0.706,0.042,1.076,0.000,"-2.957
"
7.590,-0.107,0.748,0.834,0.058,0.223,-0.012,478.951,3.522,0.327,0.009,0.870,0.000,"-3.166
"
7.843,-0.115,0.737,0.646,0.066,0.142,-0.140,481.285,3.126,-0.562,0.181,0.683,0.000,"-3.354
"
8.097,-0.113,0.728,0.510,0.080,0.238,-0.034,483.161,3.542,0.306,0.154,0.532,0.000,"-3.490
"
8.350,-0.087,0.723,0.434,0.104,0.239,-0.014,484.280,2.996,-1.524,-0.050,0.442,0.000,"-3.566
"
8.603,-0.077,0.737,0.502,0.069,0.245,-0.025,483.739,2.152,-1.125,-0.031,0.485,0.000,"-3.498
"
8.856,-0.054,0.750,0.613,0.044,0.242,-0.052,482.392,1.756,-2.050,-0.169,0.594,0.000,"-3.387
"
9.109,-0.031,0.758,0.762,-0.001,0.188,0.017,480.653,1.996,-2.313,-0.006,0.733,0.000,"-3.238
"
9.362,-0.022,0.752,0.928,0.021,0.302,0.068,478.668,2.744,-1.713,0.130,0.893,0.000,"-3.072
"
9.615,-0.017,0.733,1.092,0.038,0.234,-0.019,476.543,2.585,-2.171,-0.131,1.064,0.000,"-2.908
"
9.868,-0.025,0.711,1.259,0.038,0.227,-0.039,474.488,3.386,-2.138,0.121,1.229,0.000,"-2.741
"
10.121,-0.040,0.689,1.414,0.043,0.235,-0.029,472.520,3.636,-1.404,0.017,1.387,0.000,"-2.586
"
10.375,-0.064,0.670,1.560,0.046,0.231,-0.020,470.630,4.374,-1.072,0.165,1.539,0.000,"-2.440
"
10.628,-0.087,0.657,1.680,0.047,0.213,-0.026,469.093,4.123,-0.331,0.165,1.662,0.000,"-2.320
"
10.881,-0.106,0.650,1.781,0.055,0.204,-0.009,467.794,4.512,-0.607,0.163,1.767,0.000,"-2.219
"
11.134,-0.119,0.651,1.859,0.060,0.218,-0.016,466.772,4.240,-0.516,0.323,1.849,0.000,"-2.141
"
11.387,-0.125,0.655,1.925,0.057,0.203,-0.027,465.923,4.035,-0.639,0.022,1.917,0.000,"-2.075
"
11.640,-0.125,0.663,1.968,0.062,0.224,-0.017,465.363,3.450,-0.466,0.254,1.962,0.000,"-2.032
"
