Time,X,Y,Z,Pitch,Yaw,Roll,errorHeight,errorRoll,errorPitch,errorYaw,HLeadOut,HIntegralOut,HeightError
0.252,-2.202,2.116,0.410,0.013,-0.291,-0.009,460.372,-0.001,0.003,0.029,0.410,0.000,"-3.590
"
0.504,-2.203,2.117,0.411,0.014,-0.292,-0.009,460.366,-0.013,-0.010,0.025,0.410,0.000,"-3.589
"
0.757,-2.209,2.128,0.424,0.031,-0.287,0.030,460.257,-0.265,0.072,0.007,0.415,0.000,"-3.576
"
1.009,-2.233,2.185,0.514,0.050,-0.300,0.058,459.520,-1.374,0.164,0.074,0.448,0.000,"-3.486
"
1.261,-2.258,2.261,0.621,0.050,-0.309,0.026,457.587,-3.093,0.161,0.178,0.534,0.000,"-3.379
"
1.513,-2.296,2.411,0.827,0.054,-0.316,-0.020,454.681,-5.254,-0.030,0.249,0.664,0.000,"-3.173
"
1.765,-2.318,2.513,0.973,0.047,-0.321,-0.051,451.091,-7.423,-0.333,0.354,0.824,0.000,"-3.027
"
2.017,-2.333,2.611,1.121,0.050,-0.323,-0.091,447.423,-12.919,-1.295,0.406,0.988,0.000,"-2.879
"
2.268,-2.340,2.684,1.263,0.026,-0.323,-0.146,443.770,-10.365,-1.012,0.415,1.151,0.000,"-2.737
"
2.521,-2.331,2.700,1.367,0.032,-0.328,-0.148,440.977,-10.057,-1.433,0.440,1.276,0.000,"-2.633
"
2.773,-2.301,2.630,1.437,0.025,-0.329,-0.153,438.861,-6.681,-1.297,0.470,1.371,0.000,"-2.563
"
3.024,-2.269,2.541,1.447,0.037,-0.330,-0.107,437.747,-3.129,-1.243,0.482,1.421,0.000,"-2.553
"
3.276,-2.208,2.355,1.409,0.039,-0.336,-0.037,437.553,0.142,-1.092,0.527,1.429,0.000,"-2.591
"
3.528,-2.169,2.231,1.349,0.035,-0.337,-0.004,438.356,-0.400,-1.075,0.565,1.393,0.000,"-2.651
"
3.780,-2.114,2.063,1.204,0.041,-0.340,0.009,439.962,5.256,-0.963,0.588,1.322,0.000,"-2.796
"
4.032,-2.087,1.982,1.073,0.041,-0.341,0.073,442.492,4.901,-0.896,0.599,1.209,0.000,"-2.927
"
4.284,-2.068,1.922,0.841,0.035,-0.344,0.084,446.437,4.400,-0.913,0.621,1.032,0.000,"-3.159
"
