Time,X,Y,Z,Pitch,Yaw,Roll,errorHeight,errorRoll,errorPitch,errorYaw,HLeadOut,HIntegralOut,HeightError
0.504,-0.454,1.429,0.403,-0.003,-0.002,-0.012,93.071,0.010,0.029,"0.035
",0.0,0.0,0.0
0.756,-0.458,1.438,0.412,0.006,0.001,0.022,93.313,-0.084,0.051,"-0.010
",0.0,0.0,0.0
1.007,-0.468,1.466,0.456,0.025,-0.003,0.046,93.529,-0.246,0.097,"0.021
",0.0,0.0,0.0
1.259,-0.493,1.558,0.592,0.024,-0.016,0.044,93.686,-0.819,0.235,"0.126
",0.0,0.0,0.0
1.511,-0.512,1.654,0.721,0.029,-0.022,0.034,93.783,-1.391,0.324,"0.218
",0.0,0.0,0.0
1.762,-0.549,1.843,0.953,0.025,-0.030,0.015,93.804,-2.993,0.573,"0.310
",0.0,0.0,0.0
2.014,-0.577,2.005,1.135,0.046,-0.032,-0.026,93.780,-4.363,0.727,"0.361
",0.0,0.0,0.0
2.266,-0.603,2.160,1.305,0.042,-0.037,-0.055,93.745,-5.155,0.798,"0.402
",0.0,0.0,0.0
2.518,-0.620,2.292,1.463,0.051,-0.038,-0.071,93.608,-5.721,0.804,"0.425
",0.0,0.0,0.0
2.770,-0.627,2.388,1.610,0.049,-0.040,-0.093,93.460,-5.879,0.758,"0.452
",0.0,0.0,0.0
3.021,-0.623,2.441,1.749,0.054,-0.039,-0.099,93.321,-5.873,0.649,"0.462
",0.0,0.0,0.0
3.273,-0.609,2.449,1.878,0.049,-0.040,-0.098,93.193,-5.564,0.515,"0.466
",0.0,0.0,0.0
3.525,-0.585,2.413,1.993,0.051,-0.039,-0.092,93.074,-5.004,0.322,"0.462
",0.0,0.0,0.0
3.777,-0.563,2.365,2.062,0.044,-0.041,-0.088,92.977,-4.635,0.205,"0.462
",0.0,0.0,0.0
4.029,-0.518,2.240,2.168,0.038,-0.042,-0.089,92.893,-3.759,-0.047,"0.476
",0.0,0.0,0.0
4.280,-0.489,2.134,2.226,0.033,-0.041,-0.080,92.791,-3.534,-0.039,"0.484
",0.0,0.0,0.0
4.532,-0.444,1.936,2.297,0.038,-0.046,-0.078,92.695,-2.612,-0.212,"0.494
",0.0,0.0,0.0
4.784,-0.420,1.809,2.328,0.032,-0.047,-0.067,92.602,-1.447,-0.360,"0.531
",0.0,0.0,0.0
5.035,-0.392,1.631,2.358,0.026,-0.044,-0.046,92.514,-0.301,-0.477,"0.521
",0.0,0.0,0.0
5.287,-0.366,1.394,2.383,0.030,-0.047,-0.022,92.427,0.695,-0.505,"0.533
",0.0,0.0,0.0
5.539,-0.357,1.243,2.391,0.021,-0.051,-0.015,92.355,1.387,-0.478,"0.575
",0.0,0.0,0.0
5.790,-0.357,1.045,2.389,0.030,-0.055,0.012,92.291,3.164,-0.364,"0.599
",0.0,0.0,0.0
6.042,-0.365,0.940,2.381,0.031,-0.061,0.024,92.236,2.970,-0.283,"0.676
",0.0,0.0,0.0
6.294,-0.385,0.823,2.350,0.031,-0.067,0.029,92.194,3.860,-0.040,"0.741
",0.0,0.0,0.0
6.546,-0.401,0.779,2.316,0.043,-0.067,0.037,92.170,3.654,-0.004,"0.766
",0.0,0.0,0.0
6.798,-0.429,0.763,2.240,0.041,-0.070,0.019,92.171,3.639,0.327,"0.792
",0.0,0.0,0.0
7.049,-0.449,0.789,2.163,0.040,-0.074,0.012,92.207,3.217,0.386,"0.817
",0.0,0.0,0.0
7.301,-0.466,0.838,2.074,0.051,-0.069,0.007,92.262,2.738,0.402,"0.803
",0.0,0.0,0.0
7.553,-0.482,0.910,1.965,0.040,-0.072,-0.011,92.345,2.168,0.444,"0.811
",0.0,0.0,0.0
7.805,-0.493,0.993,1.849,0.046,-0.069,-0.018,92.455,1.577,0.403,"0.813
",0.0,0.0,0.0
8.057,-0.498,1.080,1.723,0.048,-0.070,-0.032,92.592,1.166,0.367,"0.801
",0.0,0.0,0.0
8.309,-0.498,1.163,1.592,0.044,-0.066,-0.032,92.759,0.710,0.289,"0.762
",0.0,0.0,0.0
8.560,-0.490,1.246,1.436,0.044,-0.061,-0.048,92.955,0.342,0.146,"0.752
",0.0,0.0,0.0
8.812,-0.479,1.292,1.330,0.048,-0.062,-0.055,93.174,0.305,0.046,"0.735
",0.0,0.0,0.0
9.064,-0.461,1.340,1.179,0.041,-0.060,-0.060,93.404,0.303,-0.003,"0.697
",0.0,0.0,0.0
9.315,-0.434,1.376,0.996,0.039,-0.055,-0.054,93.678,-0.098,-0.364,"0.677
",0.0,0.0,0.0
9.567,-0.398,1.391,0.793,0.041,-0.052,-0.063,93.996,0.170,-0.302,"0.639
",0.0,0.0,0.0
9.819,-0.369,1.386,0.657,0.038,-0.050,-0.058,94.197,0.251,-0.509,"0.587
",0.0,0.0,0.0
10.070,-0.339,1.369,0.550,0.032,-0.049,-0.066,94.332,0.383,-0.688,"0.572
",0.0,0.0,0.0
10.322,-0.286,1.318,0.435,0.041,-0.050,-0.068,94.443,0.908,-1.138,"0.565
",0.0,0.0,0.0
10.574,-0.261,1.281,0.426,0.053,-0.043,-0.044,94.502,0.941,-1.094,"0.516
",0.0,0.0,0.0
10.826,-0.255,1.241,0.527,0.023,-0.043,-0.044,94.471,1.354,-1.053,"0.531
",0.0,0.0,0.0
11.078,-0.246,1.208,0.613,0.032,-0.046,-0.040,94.382,1.325,-1.077,"0.517
",0.0,0.0,0.0
11.329,-0.227,1.157,0.760,0.049,-0.042,-0.029,94.278,1.518,-1.155,"0.520
",0.0,0.0,0.0
11.581,-0.205,1.122,0.859,0.046,-0.046,-0.029,94.164,1.806,-1.317,"0.509
",0.0,0.0,0.0
11.833,-0.177,1.087,0.966,0.025,-0.043,-0.025,94.048,3.008,-2.277,"0.507
",0.0,0.0,0.0
12.084,-0.137,1.046,1.104,0.035,-0.039,-0.017,93.920,2.508,-1.967,"0.466
",0.0,0.0,0.0
12.336,-0.107,1.022,1.206,0.034,-0.035,-0.012,93.818,2.493,-2.049,"0.427
",0.0,0.0,0.0
12.588,-0.083,1.008,1.292,0.033,-0.034,-0.019,93.730,2.505,-2.188,"0.407
",0.0,0.0,0.0
12.839,-0.063,1.003,1.365,0.031,-0.031,-0.017,93.651,2.430,-2.205,"0.375
",0.0,0.0,0.0
13.091,-0.048,1.005,1.429,0.024,-0.029,-0.013,93.585,2.311,-2.221,"0.373
",0.0,0.0,0.0
13.343,-0.040,1.014,1.484,0.029,-0.028,-0.017,93.527,2.239,-2.239,"0.324
",0.0,0.0,0.0
13.595,-0.040,1.028,1.523,0.019,-0.025,-0.017,93.481,2.087,-2.170,"0.291
",0.0,0.0,0.0
13.847,-0.045,1.047,1.553,0.030,-0.023,-0.018,93.446,1.959,-2.110,"0.269
",0.0,0.0,0.0
14.098,-0.053,1.070,1.570,0.040,-0.021,-0.015,93.423,1.762,-2.045,"0.267
",0.0,0.0,0.0
14.350,-0.061,1.097,1.573,0.042,-0.017,-0.018,93.412,1.612,-2.016,"0.239
",0.0,0.0,0.0
14.602,-0.065,1.128,1.563,0.043,-0.018,-0.013,93.414,1.406,-2.030,"0.222
",0.0,0.0,0.0
14.854,-0.066,1.163,1.541,0.043,-0.020,-0.026,93.428,1.173,-2.056,"0.211
",0.0,0.0,0.0
15.106,-0.062,1.196,1.510,0.048,-0.019,-0.034,93.454,0.939,-2.140,"0.220
",0.0,0.0,0.0
15.358,-0.053,1.227,1.463,0.038,-0.019,-0.037,93.489,0.835,-2.230,"0.238
",0.0,0.0,0.0
15.610,-0.039,1.250,1.404,0.043,-0.019,-0.049,93.538,0.825,-2.359,"0.265
",0.0,0.0,0.0
15.861,-0.024,1.261,1.332,0.041,-0.024,-0.050,93.598,0.841,-2.454,"0.239
",0.0,0.0,0.0
16.113,-0.004,1.261,1.249,0.045,-0.022,-0.042,93.671,0.980,-2.551,"0.234
",0.0,0.0,0.0
16.365,0.020,1.255,1.161,0.048,-0.021,-0.029,93.752,1.059,-2.718,"0.250
",0.0,0.0,0.0
16.617,0.046,1.244,1.068,0.039,-0.020,-0.026,93.838,1.173,-2.897,"0.261
",0.0,0.0,0.0
16.869,0.070,1.230,0.968,0.028,-0.022,-0.036,93.929,1.273,-3.027,"0.264
",0.0,0.0,0.0
17.120,0.091,1.214,0.864,0.032,-0.027,-0.032,94.027,1.421,-3.091,"0.282
",0.0,0.0,0.0
17.372,0.105,1.196,0.762,0.024,-0.029,-0.030,94.126,1.485,-3.072,"0.326
",0.0,0.0,0.0
17.624,0.114,1.179,0.665,0.021,-0.034,-0.030,94.222,1.594,-3.070,"0.338
",0.0,0.0,0.0
17.876,0.118,1.164,0.597,0.041,-0.030,-0.029,94.308,1.646,-3.070,"0.366
",0.0,0.0,0.0
18.127,0.124,1.147,0.534,0.031,-0.042,-0.025,94.366,1.721,-3.086,"0.410
",0.0,0.0,0.0
18.379,0.131,1.137,0.508,0.043,-0.041,-0.024,94.413,1.747,-3.096,"0.469
",0.0,0.0,0.0
18.631,0.138,1.125,0.507,0.028,-0.043,-0.023,94.433,1.776,-3.112,"0.489
",0.0,0.0,0.0
18.883,0.144,1.121,0.544,0.039,-0.044,-0.016,94.423,1.825,-3.147,"0.555
",0.0,0.0,0.0
19.135,0.152,1.126,0.602,0.030,-0.054,-0.011,94.375,1.737,-3.203,"0.565
",0.0,0.0,0.0
19.387,0.160,1.143,0.673,0.029,-0.056,-0.012,94.314,1.594,-3.280,"0.587
",0.0,0.0,0.0
19.638,0.166,1.171,0.749,0.027,-0.052,-0.014,94.244,1.353,-3.305,"0.602
",0.0,0.0,0.0
19.889,0.167,1.206,0.824,0.028,-0.054,-0.023,94.172,1.100,-3.288,"0.613
",0.0,0.0,0.0
20.140,0.162,1.244,0.895,0.023,-0.054,-0.029,94.101,0.741,-3.167,"0.615
",0.0,0.0,0.0
20.391,0.154,1.271,0.943,0.027,-0.052,-0.029,94.038,0.581,-3.099,"0.603
",0.0,0.0,0.0
20.642,0.154,1.271,0.943,0.027,-0.052,-0.029,94.019,0.531,-3.075,"0.600
",0.0,0.0,0.0
20.893,0.154,1.271,0.943,0.027,-0.052,-0.029,94.016,0.527,-3.073,"0.600
",0.0,0.0,0.0
21.144,0.083,1.355,1.093,0.034,-0.051,-0.043,93.926,0.075,-2.494,"0.595
",0.0,0.0,0.0
21.395,0.048,1.370,1.128,0.038,-0.052,-0.047,93.864,0.385,-2.605,"0.562
",0.0,0.0,0.0
21.647,0.029,1.374,1.141,0.046,-0.045,-0.037,93.837,0.382,-2.448,"0.548
",0.0,0.0,0.0
21.898,0.012,1.371,1.146,0.035,-0.045,-0.040,93.824,0.434,-2.430,"0.526
",0.0,0.0,0.0
