Time,X,Y,Z,Pitch,Yaw,Roll,errorHeight,errorRoll,errorPitch,errorYaw,HLeadOut,HIntegralOut,HeightError
0.300,0.473,3.660,0.418,0.030,1.563,-0.025,86.227,0.003,-0.026,0.049,0.418,39.261,"-2.582
"
0.551,0.473,3.663,0.420,0.025,1.567,-0.023,86.284,-0.017,0.095,0.001,0.419,42.160,"-2.580
"
0.801,0.485,3.669,0.444,0.045,1.566,0.027,86.335,-0.527,0.274,-0.031,0.427,45.056,"-2.556
"
1.051,0.517,3.680,0.525,0.058,1.558,0.024,86.365,-1.504,0.615,0.038,0.473,47.924,"-2.475
"
1.302,0.570,3.688,0.657,0.057,1.544,-0.027,86.364,-2.710,0.505,0.160,0.571,50.711,"-2.343
"
1.553,0.631,3.690,0.828,0.055,1.547,-0.039,86.334,-3.779,0.407,0.220,0.716,53.362,"-2.172
"
1.805,0.680,3.689,1.017,0.046,1.541,-0.065,86.283,-4.347,0.266,0.268,0.891,55.830,"-1.983
"
2.058,0.705,3.689,1.205,0.046,1.538,-0.080,86.222,-4.203,0.324,0.289,1.078,58.095,"-1.795
"
2.310,0.698,3.689,1.382,0.052,1.537,-0.084,86.159,-3.333,0.315,0.312,1.261,60.150,"-1.618
"
2.562,0.662,3.692,1.543,0.046,1.537,-0.077,86.098,-1.938,0.462,0.325,1.433,62.006,"-1.457
"
2.813,0.600,3.692,1.710,0.054,1.532,-0.049,86.038,0.757,0.558,0.347,1.596,63.675,"-1.290
"
3.065,0.528,3.694,1.867,0.051,1.535,-0.016,85.977,1.260,0.653,0.354,1.755,65.162,"-1.133
"
3.317,0.463,3.693,2.016,0.058,1.533,-0.013,85.918,2.287,0.593,0.378,1.905,66.474,"-0.984
"
3.569,0.409,3.692,2.157,0.057,1.531,-0.000,85.859,3.162,0.580,0.393,2.049,67.620,"-0.843
"
3.820,0.371,3.691,2.287,0.050,1.529,0.002,85.798,2.817,0.545,0.418,2.190,68.607,"-0.713
"
4.072,0.348,3.690,2.407,0.057,1.527,-0.009,85.742,2.774,0.539,0.434,2.319,69.444,"-0.593
"
4.324,0.335,3.690,2.518,0.055,1.524,-0.016,85.685,2.549,0.576,0.454,2.444,70.184,"-0.482
"
4.576,0.327,3.689,2.620,0.057,1.524,-0.026,85.636,2.488,0.485,0.477,2.551,70.747,"-0.380
"
4.827,0.322,3.688,2.706,0.054,1.523,-0.029,85.590,2.636,0.503,0.470,2.647,71.196,"-0.294
"
5.079,0.315,3.685,2.787,0.055,1.526,-0.030,85.549,2.694,0.403,0.464,2.733,71.543,"-0.213
"
5.330,0.306,3.682,2.859,0.051,1.526,-0.031,85.510,2.957,0.366,0.460,2.810,71.799,"-0.141
"
5.582,0.292,3.680,2.917,0.050,1.531,-0.035,85.475,3.310,0.344,0.430,2.878,71.973,"-0.083
"
5.834,0.276,3.677,2.966,0.063,1.536,-0.021,85.445,3.885,0.220,0.384,2.933,72.078,"-0.034
"
6.086,0.257,3.675,3.003,0.048,1.538,-0.024,85.422,4.011,0.300,0.351,2.977,72.128,"0.003
"
6.337,0.240,3.671,3.029,0.064,1.541,-0.018,85.403,4.228,0.136,0.302,3.010,72.134,"0.029
"
6.589,0.223,3.668,3.042,0.052,1.544,-0.019,85.390,4.453,0.140,0.269,3.032,72.109,"0.042
"
6.841,0.209,3.665,3.042,0.048,1.549,-0.015,85.385,4.555,0.075,0.237,3.040,72.067,"0.042
"
7.092,0.197,3.667,3.030,0.045,1.548,-0.021,85.386,4.762,0.300,0.205,3.037,72.023,"0.030
"
7.344,0.186,3.672,3.009,0.060,1.552,-0.019,85.393,4.810,0.385,0.183,3.022,71.989,"0.009
"
7.597,0.175,3.679,2.978,0.057,1.552,-0.024,85.407,4.942,0.518,0.164,2.998,71.976,"-0.022
"
7.848,0.164,3.683,2.938,0.055,1.556,-0.022,85.426,5.148,0.533,0.141,2.965,71.997,"-0.062
"
8.100,0.153,3.683,2.892,0.067,1.558,-0.017,85.451,5.300,0.454,0.125,2.923,72.059,"-0.108
"
8.352,0.141,3.683,2.838,0.056,1.557,-0.026,85.481,5.499,0.408,0.098,2.874,72.172,"-0.162
"
8.608,0.128,3.676,2.775,0.071,1.558,-0.027,85.519,5.689,0.159,0.098,2.813,72.358,"-0.225
"
8.860,0.113,3.665,2.695,0.061,1.560,-0.023,85.562,6.091,-0.169,0.089,2.745,72.605,"-0.305
"
9.112,0.098,3.651,2.610,0.057,1.561,-0.018,85.614,6.283,-0.428,0.069,2.664,72.936,"-0.390
"
9.363,0.083,3.639,2.519,0.052,1.562,-0.020,85.673,6.490,-0.551,0.055,2.576,73.362,"-0.481
"
9.615,0.069,3.629,2.422,0.047,1.560,-0.026,85.736,6.749,-0.695,0.064,2.483,73.889,"-0.578
"
9.867,0.058,3.621,2.325,0.057,1.563,-0.016,85.801,6.878,-0.784,0.038,2.389,74.522,"-0.675
"
