Time,X,Y,Z,Pitch,Yaw,Roll,errorHeight,errorRoll,errorPitch,errorYaw,HLeadOut,HIntegralOut,HeightError
0.253,-0.010,1.204,0.402,0.008,-0.030,-0.013,452.012,-0.002,-0.026,0.017,0.402,0.000,"-3.598
"
0.506,-0.006,1.205,0.404,0.030,-0.033,-0.028,452.009,-0.090,-0.172,-0.039,0.404,0.000,"-3.596
"
0.759,-0.010,1.217,0.431,0.025,-0.042,0.006,450.120,-0.434,-0.004,0.046,0.429,0.000,"-3.569
"
1.010,-0.016,1.246,0.553,0.017,-0.060,0.012,444.503,-1.293,0.072,0.244,0.542,0.000,"-3.447
"
1.262,-0.025,1.295,0.751,0.015,-0.073,-0.001,434.156,-2.821,0.231,0.428,0.736,0.000,"-3.249
"
1.514,-0.041,1.354,0.995,0.009,-0.087,-0.035,422.554,-4.544,0.726,0.561,0.961,0.000,"-3.005
"
1.766,-0.053,1.388,1.157,0.018,-0.093,-0.046,435.955,-4.387,0.758,0.704,1.157,0.000,"-2.843
"
2.017,-0.065,1.412,1.295,0.021,-0.096,-0.054,409.818,-6.115,1.472,0.752,1.295,0.000,"-2.705
"
2.269,-0.086,1.428,1.663,0.036,-0.114,-0.102,431.664,-3.793,1.208,0.899,1.652,0.000,"-2.337
"
2.521,-0.083,1.390,1.815,0.031,-0.116,-0.066,440.882,-2.091,0.817,0.960,1.805,0.000,"-2.185
"
2.773,-0.069,1.327,1.971,0.025,-0.116,-0.031,442.066,-0.455,0.574,1.010,1.960,0.000,"-2.029
"
3.025,-0.050,1.259,2.131,0.027,-0.124,-0.015,442.555,0.697,0.260,1.044,2.126,0.000,"-1.869
"
3.277,-0.028,1.197,2.305,0.020,-0.125,0.008,430.342,3.063,-0.379,1.084,2.293,0.000,"-1.695
"
3.529,-0.010,1.157,2.467,0.015,-0.128,0.027,439.289,2.190,-0.387,1.115,2.467,0.000,"-1.533
"
3.781,0.004,1.137,2.632,0.015,-0.129,0.010,437.898,1.801,-0.445,1.139,2.632,0.000,"-1.368
"
4.033,0.012,1.137,2.800,0.018,-0.133,-0.008,442.958,1.166,-0.458,1.198,2.795,0.000,"-1.200
"
4.285,0.016,1.146,2.943,0.026,-0.141,-0.033,436.213,0.719,-0.514,1.210,2.943,0.000,"-1.057
"
4.537,0.020,1.160,3.117,0.013,-0.134,-0.023,429.832,0.087,-0.680,1.198,3.117,0.000,"-0.883
"
4.789,0.024,1.166,3.264,0.024,-0.140,-0.052,430.577,0.330,-0.738,1.195,3.264,0.000,"-0.736
"
5.041,0.029,1.162,3.408,0.018,-0.131,-0.036,434.577,0.897,-0.741,1.243,3.403,0.000,"-0.592
"
5.292,0.037,1.150,3.526,0.037,-0.144,-0.062,433.763,1.703,-0.975,1.266,3.526,0.000,"-0.474
"
5.544,0.050,1.129,3.663,0.024,-0.135,-0.034,439.043,2.144,-1.219,1.225,3.663,0.000,"-0.337
"
5.797,0.068,1.106,3.799,0.028,-0.138,-0.044,442.478,2.292,-1.435,1.204,3.790,0.000,"-0.201
"
6.048,0.086,1.086,3.937,0.027,-0.136,-0.043,442.351,2.579,-1.784,1.203,3.932,0.000,"-0.063
"
6.301,0.103,1.071,4.082,0.013,-0.132,-0.017,398.515,2.836,-1.861,1.206,4.077,0.000,"0.082
"
6.553,0.118,1.060,4.190,0.014,-0.130,-0.018,396.340,3.030,-2.311,1.189,4.185,0.000,"0.190
"
6.805,0.130,1.056,4.218,0.011,-0.131,-0.019,405.881,2.811,-2.332,1.182,4.218,0.000,"0.218
"
7.057,0.139,1.055,4.186,0.016,-0.129,-0.030,412.410,2.695,-2.400,1.159,4.186,0.000,"0.186
"
7.309,0.147,1.056,4.093,0.027,-0.140,-0.054,413.171,2.544,-2.276,1.164,4.101,0.000,"0.093
"
7.561,0.152,1.056,3.974,0.018,-0.131,-0.050,458.912,2.726,-2.454,1.229,3.974,0.000,"-0.026
"
7.813,0.157,1.051,3.834,0.018,-0.126,-0.046,463.127,2.911,-2.509,1.140,3.838,0.000,"-0.166
"
8.066,0.160,1.039,3.743,0.021,-0.129,-0.039,459.528,3.276,-2.321,1.152,3.748,0.000,"-0.257
"
8.318,0.160,1.026,3.703,0.022,-0.124,-0.035,455.979,3.631,-2.261,1.095,3.705,0.000,"-0.297
"
8.571,0.162,1.016,3.706,0.024,-0.119,-0.027,451.849,3.525,-2.402,1.048,3.704,0.000,"-0.294
"
8.823,0.164,1.008,3.746,0.018,-0.113,-0.021,449.460,3.536,-2.425,1.019,3.742,0.000,"-0.254
"
9.075,0.166,1.002,3.818,0.018,-0.115,-0.034,447.505,3.623,-2.322,1.018,3.810,0.000,"-0.182
"
9.327,0.168,0.996,3.909,0.046,-0.128,-0.073,445.741,3.569,-2.505,1.029,3.909,0.000,"-0.091
"
9.579,0.173,0.989,4.018,0.048,-0.125,-0.074,410.347,3.814,-2.309,1.029,4.015,0.000,"0.018
"
9.832,0.183,0.983,4.106,0.052,-0.124,-0.061,400.783,4.073,-2.768,0.978,4.106,0.000,"0.106
"
