Time,FPS,x,y,z,x_raw,y_raw,z_raw,pitch,yaw,roll
0.25,2,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0038,-0.0014,0.0069
0.50,2,-0.0002,0.0039,-0.2626,-0.0065,-0.0010,-0.2625,0.0241,-0.0147,-0.0187
0.76,39,-0.0052,-0.0182,-0.4390,-0.0167,-0.0195,-0.4387,0.0248,-0.0331,-0.0038
1.01,39,0.0021,-0.0354,-0.6282,0.0010,-0.0327,-0.6284,-0.0006,-0.0451,0.0045
1.29,39,0.0023,-0.0114,-0.7755,-0.0043,-0.0193,-0.7753,0.0075,-0.0527,-0.0102
1.54,30,0.0009,0.0171,-0.8753,-0.0101,-0.0024,-0.8754,0.0131,-0.0609,-0.0227
1.80,30,-0.0004,0.0171,-0.9486,-0.0180,-0.0052,-0.9486,0.0190,-0.0660,-0.0242
2.08,30,0.0025,-0.0130,-1.0254,-0.0249,-0.0267,-1.0248,0.0253,-0.0727,-0.0142
2.35,30,0.0094,-0.0490,-1.0980,-0.0065,-0.0559,-1.0977,0.0109,-0.0754,-0.0062
2.65,25,0.0185,-0.0775,-1.1865,0.0082,-0.0839,-1.1861,0.0031,-0.0818,-0.0045
2.94,25,0.0274,-0.0796,-1.2547,0.0128,-0.0946,-1.2539,0.0060,-0.0810,-0.0107
3.23,25,0.0303,-0.0961,-1.3200,0.0136,-0.1121,-1.3190,0.0060,-0.0838,-0.0107
3.49,25,0.0330,-0.1082,-1.3832,-0.0011,-0.1303,-1.3817,0.0173,-0.0854,-0.0150
3.77,24,0.0368,-0.1402,-1.4855,-0.0113,-0.1630,-1.4836,0.0235,-0.0863,-0.0146
4.06,24,0.0545,-0.1564,-1.5630,0.0101,-0.1937,-1.5597,0.0184,-0.0898,-0.0220
4.31,24,0.0683,-0.1778,-1.5792,0.0329,-0.2191,-1.5751,0.0113,-0.0881,-0.0233
4.59,27,0.0832,-0.1982,-1.6979,0.0473,-0.2506,-1.6924,0.0104,-0.0861,-0.0275
4.85,27,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0094,-0.0837,-0.0296
5.10,27,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0143,-0.0799,-0.0299
5.39,27,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0141,-0.0792,-0.0350
5.67,28,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0074,-0.0759,-0.0352
5.94,28,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0170,-0.0753,-0.0358
6.21,28,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0110,-0.0733,-0.0402
6.47,28,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0070,-0.0710,-0.0457
6.73,31,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0128,-0.0744,-0.0514
6.98,31,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0499,-0.0950,-0.0946
7.26,31,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,-0.0038,-0.1225,0.0511
7.53,31,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0115,-0.1334,0.0516
7.81,34,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0274,-0.0872,0.0497
8.08,34,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0469,-0.0433,0.0522
8.35,34,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0443,-0.0049,0.0357
8.63,34,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0020,-0.0404,-0.0051
8.91,28,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,-0.0023,-0.0327,-0.0075
9.20,28,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0096,-0.0047,-0.0069
9.45,28,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0117,0.0235,0.0004
9.70,28,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0174,0.0348,-0.0204
9.96,28,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0358,0.0456,-0.0276
10.21,28,0.1198,-0.2509,-1.7623,0.0776,-0.3129,-1.7547,0.0434,0.0504,-0.0023
