Time, FPS, x, y, z, x_raw, y_raw, z_raw, pitch, yaw, roll
0.30, 14, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0063, 0.0440, -0.0010
0.56, 14, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0126, 0.0528, 0.0024
0.83, 14, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0176, 0.0465, 0.0074
1.09, 14, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0372, 0.0390, -0.0061
1.40, 14, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0418, 0.0320, -0.0218
1.70, 16, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0312, 0.0212, -0.0127
1.99, 16, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0134, 0.0141, 0.0003
2.30, 16, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0194, 0.0072, 0.0099
2.59, 16, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0133, -0.0018, 0.0047
2.90, 17, -0.1679, 0.4087, -0.7731, -0.1714, 0.4096, -0.7718, 0.0097, -0.0099, -0.0010
3.21, 17, -0.1725, 0.4041, -0.8220, -0.1821, 0.4019, -0.8210, 0.0177, -0.0123, -0.0053
3.46, 17, -0.1781, 0.4102, -0.8842, -0.1893, 0.4086, -0.8826, 0.0197, -0.0149, -0.0050
3.72, 17, -0.1798, 0.4184, -0.9309, -0.1953, 0.4111, -0.9310, 0.0242, -0.0168, -0.0112
3.97, 17, -0.1777, 0.4078, -0.9703, -0.1906, 0.4030, -0.9699, 0.0211, -0.0187, -0.0085
4.22, 17, -0.1788, 0.4041, -1.0194, -0.1807, 0.3981, -1.0214, 0.0105, -0.0219, -0.0097
4.53, 17, -0.1667, 0.3832, -1.0276, -0.1683, 0.3815, -1.0280, 0.0077, -0.0249, -0.0100
4.79, 16, -0.1607, 0.3720, -1.0848, -0.1599, 0.3706, -1.0854, 0.0079, -0.0254, -0.0050
5.04, 16, -0.1619, 0.3616, -1.1186, -0.1595, 0.3685, -1.1166, 0.0036, -0.0250, -0.0039
5.30, 16, -0.1548, 0.3461, -1.1545, -0.1517, 0.3484, -1.1542, 0.0048, -0.0249, -0.0014
5.60, 16, -0.1570, 0.3345, -1.1876, -0.1539, 0.3332, -1.1884, 0.0055, -0.0289, -0.0049
5.91, 17, -0.1576, 0.3316, -1.1946, -0.1540, 0.3301, -1.1955, 0.0076, -0.0294, -0.0037
6.21, 17, -0.1611, 0.3115, -1.2376, -0.1623, 0.3167, -1.2361, 0.0130, -0.0307, -0.0051
