Units are seconds, meters, and radians
Time, FPS, x, y, z, x_raw, y_raw, z_raw, pitch, yaw, roll
0.27, 2, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0030, 0.0463, -0.0009
0.53, 2, -0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0327, 0.0271, -0.0086
0.80, 40, 0.0774, 0.0245, -0.5731, 0.0743, 0.0117, -0.5739, 0.0051, 0.0096, -0.0236
1.06, 40, 0.0892, 0.0122, -0.7114, 0.0918, 0.0026, -0.7112, -0.0037, 0.0045, -0.0140
1.33, 40, 0.0948, -0.0095, -0.7935, 0.0907, -0.0175, -0.7939, 0.0051, -0.0001, -0.0101
1.60, 40, 0.0952, -0.0294, -0.8520, 0.0822, -0.0337, -0.8532, 0.0150, -0.0039, -0.0046
1.88, 25, 0.1085, -0.0325, -0.9573, 0.0963, -0.0483, -0.9579, 0.0123, -0.0101, -0.0155
2.15, 25, 0.1160, -0.0507, -1.0047, 0.1038, -0.0666, -1.0051, 0.0115, -0.0109, -0.0146
2.41, 25, 0.1250, -0.0830, -1.0413, 0.1122, -0.0906, -1.0421, 0.0111, -0.0131, -0.0058
2.68, 25, 0.1317, -0.1130, -1.0964, 0.1169, -0.1180, -1.0976, 0.0120, -0.0145, -0.0029
2.94, 25, 0.1384, -0.1367, -1.1377, 0.1252, -0.1381, -1.1391, 0.0095, -0.0173, 0.0008
3.22, 25, 0.1370, -0.1393, -1.1748, 0.1285, -0.1448, -1.1751, 0.0054, -0.0151, -0.0030
3.50, 25, 0.1429, -0.1415, -1.2096, 0.1226, -0.1516, -1.2106, 0.0148, -0.0170, -0.0065
3.78, 25, 0.1405, -0.1582, -1.2678, 0.1269, -0.1691, -1.2678, 0.0084, -0.0185, -0.0066
4.07, 25, 0.1384, -0.1679, -1.3073, 0.1198, -0.1789, -1.3077, 0.0117, -0.0191, -0.0066
4.36, 25, 0.1370, -0.1854, -1.3549, 0.1141, -0.1935, -1.3559, 0.0139, -0.0216, -0.0040
4.63, 25, 0.1423, -0.1964, -1.3815, 0.1113, -0.2114, -1.3822, 0.0195, -0.0203, -0.0090
4.89, 24, 0.1480, -0.2144, -1.4265, 0.1297, -0.2253, -1.4266, 0.0098, -0.0197, -0.0057
5.16, 24, 0.1500, -0.2261, -1.4550, 0.1355, -0.2428, -1.4537, 0.0063, -0.0228, -0.0092
5.42, 24, 0.1538, -0.2026, -1.4745, 0.1294, -0.2326, -1.4724, 0.0517, -0.0276, -0.0705
5.67, 24, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0456, -0.0262, -0.0565
5.93, 29, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, -0.0024, -0.0267, -0.0141
6.20, 29, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, -0.0239, -0.0273, -0.0171
6.47, 29, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0011, -0.0277, -0.0207
6.72, 29, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0309, -0.0313, -0.0215
6.98, 31, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0237, -0.0334, -0.0253
7.26, 31, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0144, -0.0336, -0.0238
7.51, 31, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0070, -0.0342, -0.0305
7.77, 31, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0089, -0.0352, -0.0321
8.04, 30, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0191, -0.0340, -0.0281
8.30, 30, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0300, -0.0366, -0.0310
8.58, 30, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0186, -0.0375, -0.0378
8.83, 31, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0682, -0.0677, -0.1269
9.10, 31, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0622, -0.0880, 0.0361
9.37, 31, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0525, -0.1009, 0.0242
9.64, 31, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0534, -0.1105, 0.0193
9.89, 34, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0619, -0.0881, 0.0213
10.17, 34, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, -0.0343, -0.0983, 0.0196
10.44, 34, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0068, -0.0809, 0.0186
10.70, 34, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0302, -0.0910, 0.0101
11.01, 28, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, -0.0592, -0.1473, -0.0585
11.29, 28, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0231, -0.1592, -0.0083
11.57, 28, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0696, -0.1596, 0.0051
11.84, 28, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0011, -0.1605, -0.0017
12.15, 22, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, 0.0512, -0.1614, -0.0018
12.43, 22, 0.1753, -0.0399, -1.5651, 0.0672, -0.1764, -1.5641, -0.0069, -0.1594, -0.0002
12.71, 
