Time, X, Y, Z, Pitch, Yaw, Roll, errorHeight, errorRoll, errorPitch, errorYaw, HLeadOut, HIntegralOut, HeightError
------------------------[Parameters]------------------------
HOVER_VALUE, ctrl_x->ref, ctrl_y->ref, ctrl_yaw->ref, ctrl_h->ref, ctrl_h->kp, ctrl_h->tau_i, ctrl_h->tau_d, ctrl_h->alpha, ctrl_vel_x->tau_i, ctrl_vel_x->tau_d, ctrl_vel_x->alpha
430.000, -0.713, 0.537, 0.057, 4.000, 16.000, 0.000, 2.000, 0.070, 0.000, 0.347, 0.300, 
------------------------[Parameters]------------------------
0.251,-0.712,0.537,0.422,0.019,0.052,-0.014,487.242,0.001,-0.016,0.028,0.422,0.000,-3.578
0.503,-0.699,0.539,0.427,0.054,0.049,-0.005,487.227,-0.036,-0.256,0.034,0.423,0.000,-3.573
0.754,-0.686,0.554,0.459,0.073,0.045,0.033,486.967,-0.349,-0.493,0.095,0.440,0.000,-3.541
1.006,-0.654,0.625,0.639,0.045,0.029,0.042,485.748,-1.151,-0.825,0.197,0.516,0.000,-3.361
1.257,-0.629,0.709,0.844,0.037,0.025,0.020,482.730,-3.171,-1.408,0.324,0.704,0.000,-3.156
1.508,-0.613,0.787,1.041,0.035,0.021,0.004,478.913,-4.584,-1.627,0.388,0.943,0.000,-2.959
1.760,-0.592,0.966,1.549,0.026,0.013,-0.072,473.185,-8.114,-1.997,0.458,1.301,0.000,-2.451
2.011,-0.592,1.046,1.873,0.021,0.011,-0.120,466.992,-8.656,-1.810,0.515,1.688,0.000,-2.127
2.263,-0.608,1.090,2.333,0.028,0.000,-0.155,461.084,-9.571,-1.562,0.574,2.088,0.000,-1.667
2.514,-0.626,1.062,2.640,0.039,0.004,-0.157,454.525,-8.201,-1.229,0.611,2.467,0.000,-1.360
2.765,-0.656,0.953,3.020,0.039,0.004,-0.129,448.799,-5.854,-0.651,0.601,2.825,0.000,-0.980
3.017,-0.683,0.814,3.313,0.050,0.006,-0.089,443.620,-1.568,0.098,0.595,3.149,0.000,-0.687
3.268,-0.712,0.610,3.652,0.064,0.003,-0.014,438.903,1.459,0.322,0.587,3.444,0.000,-0.348
3.520,-0.725,0.485,3.844,0.060,0.004,0.022,434.555,2.288,0.341,0.605,3.715,0.000,-0.156
3.771,-0.731,0.385,4.008,0.062,0.004,0.048,431.255,3.140,0.328,0.599,3.922,0.000,0.008
4.023,-0.732,0.301,4.181,0.055,0.003,0.063,428.440,4.163,0.276,0.618,4.097,0.000,0.181
4.274,-0.726,0.291,4.255,0.057,0.004,0.074,426.584,4.008,0.154,0.617,4.213,0.000,0.255
4.525,-0.710,0.347,4.288,0.060,0.004,0.063,425.651,2.827,-0.119,0.606,4.272,0.000,0.288
4.777,-0.694,0.422,4.262,0.055,0.003,0.043,425.648,1.378,-0.404,0.616,4.272,0.000,0.262
5.028,-0.666,0.576,4.150,0.048,-0.001,-0.015,426.428,-2.624,-1.103,0.631,4.223,0.000,0.150
5.280,-0.647,0.682,4.031,0.040,0.001,-0.061,428.318,-6.230,-1.710,0.639,4.105,0.000,0.031
5.531,-0.627,0.798,3.805,0.022,0.006,-0.148,431.034,-7.435,-1.923,0.627,3.935,0.000,-0.195
5.783,-0.620,0.838,3.613,0.019,0.006,-0.166,434.040,-6.939,-1.789,0.592,3.748,0.000,-0.387
6.034,-0.624,0.820,3.240,0.032,0.009,-0.144,438.597,-5.007,-1.468,0.562,3.463,0.000,-0.760
6.332,-0.636,0.758,2.962,0.032,0.013,-0.120,444.426,0.065,-0.565,0.513,3.098,0.000,-1.038
6.584,-0.654,0.629,2.565,0.061,0.011,-0.049,449.940,2.917,-0.321,0.523,2.754,0.000,-1.435
6.835,-0.668,0.508,2.218,0.052,0.010,-0.008,455.843,5.396,-0.176,0.522,2.385,0.000,-1.782
7.086,-0.672,0.389,1.750,0.067,0.019,0.053,461.928,4.062,-0.593,0.459,2.005,0.000,-2.250
7.338,-0.672,0.350,1.479,0.044,0.014,0.019,467.499,4.931,-0.682,0.475,1.656,0.000,-2.521
7.589,-0.662,0.339,1.098,0.067,0.019,0.035,472.908,3.672,-1.045,0.455,1.318,0.000,-2.902
7.841,-0.650,0.357,0.808,0.049,0.022,0.002,477.982,2.098,-1.596,0.426,1.001,0.000,-3.192
8.092,-0.626,0.400,0.514,0.056,0.019,-0.041,482.859,1.636,-1.669,0.412,0.696,0.000,-3.486
8.344,-0.610,0.440,0.430,0.070,0.032,0.009,486.097,1.275,-1.773,0.360,0.494,0.000,-3.570
8.595,-0.600,0.504,0.565,0.055,0.034,-0.051,486.004,0.304,-1.821,0.264,0.500,0.000,-3.435
8.847,-0.586,0.549,0.755,0.033,0.041,-0.074,483.662,-0.540,-2.040,0.254,0.646,0.000,-3.245
9.098,-0.579,0.561,0.922,0.033,0.033,-0.089,480.534,-0.679,-2.225,0.268,0.842,0.000,-3.078
9.398,-0.582,0.525,1.286,0.021,0.026,-0.101,475.639,1.663,-1.882,0.349,1.148,0.000,-2.714
9.650,-0.605,0.439,1.626,0.034,0.023,-0.065,470.838,2.238,-1.597,0.350,1.448,0.000,-2.374
9.901,-0.625,0.379,1.812,0.038,0.023,-0.049,466.573,3.266,-1.207,0.371,1.714,0.000,-2.188
10.153,-0.679,0.242,2.250,0.053,0.025,0.019,461.836,8.839,0.862,0.372,2.010,0.000,-1.750
10.404,-0.698,0.206,2.428,0.072,0.028,0.075,457.111,6.785,0.276,0.354,2.306,0.000,-1.572
10.656,-0.722,0.198,2.794,0.065,0.018,0.043,453.113,6.416,0.783,0.360,2.555,0.000,-1.206
10.908,-0.719,0.245,2.989,0.071,0.017,0.037,448.653,3.395,0.142,0.447,2.834,0.000,-1.011
11.159,-0.709,0.312,3.156,0.069,0.012,0.000,444.942,2.924,-0.165,0.496,3.066,0.000,-0.844
11.411,-0.678,0.435,3.368,0.063,0.009,-0.025,441.876,-0.138,-0.899,0.519,3.258,0.000,-0.632
11.662,-0.650,0.520,3.488,0.048,0.005,-0.074,439.312,-0.550,-1.212,0.576,3.418,0.000,-0.512
11.914,-0.609,0.609,3.605,0.046,-0.001,-0.105,437.368,-3.041,-2.536,0.625,3.540,0.000,-0.395
12.166,-0.586,0.638,3.648,0.022,0.004,-0.126,436.063,-2.812,-2.748,0.620,3.621,0.000,-0.352
12.417,-0.560,0.618,3.667,0.023,0.006,-0.127,435.470,-1.162,-3.132,0.592,3.658,0.000,-0.333
12.669,-0.559,0.572,3.647,0.019,0.007,-0.112,435.495,0.502,-2.674,0.573,3.657,0.000,-0.353
12.921,-0.575,0.442,3.553,0.026,0.011,-0.057,436.213,1.780,-2.268,0.527,3.612,0.000,-0.447
13.173,-0.597,0.350,3.458,0.029,0.014,-0.031,437.655,4.082,-1.679,0.508,3.522,0.000,-0.542
13.424,-0.637,0.232,3.277,0.037,0.020,0.005,439.689,5.417,-1.170,0.451,3.394,0.000,-0.723
13.676,-0.664,0.166,3.153,0.043,0.017,-0.035,442.194,6.703,-0.522,0.439,3.238,0.000,-0.847
13.928,-0.710,0.071,3.028,0.022,0.021,-0.089,444.673,8.890,0.494,0.423,3.083,0.000,-0.972
14.180,-0.768,-0.042,2.978,0.039,0.027,-0.010,445.933,12.156,2.158,0.387,3.004,0.000,-1.022
14.432,-0.832,-0.138,2.977,0.040,0.030,0.061,446.291,14.716,3.846,0.320,2.982,0.000,-1.023
14.684,-0.902,-0.187,2.971,0.038,0.036,0.047,446.395,13.872,4.891,0.284,2.975,0.000,-1.029
14.936,-0.969,-0.184,2.953,0.043,0.037,0.026,446.619,11.874,4.968,0.246,2.961,0.000,-1.047
15.187,-1.055,-0.136,2.914,0.046,0.039,-0.003,446.976,9.480,7.717,0.199,2.939,0.000,-1.086
15.439,-1.109,-0.087,2.865,0.053,0.046,-0.003,447.678,9.266,6.933,0.151,2.895,0.000,-1.135
15.691,-1.190,0.004,2.731,0.047,0.056,-0.017,448.896,6.309,9.595,0.079,2.819,0.000,-1.269
15.943,-1.240,0.068,2.602,0.051,0.060,-0.054,450.764,5.902,9.609,-0.015,2.702,0.000,-1.398
16.195,-1.280,0.111,2.499,0.051,0.063,-0.088,453.165,6.169,9.560,-0.063,2.552,0.000,-1.501
16.447,-1.352,0.165,2.347,0.066,0.077,-0.047,455.321,5.485,11.047,-0.164,2.417,0.000,-1.653
16.699,-1.393,0.186,2.257,0.038,0.083,-0.020,457.043,6.008,10.924,-0.270,2.310,0.000,-1.743
16.951,-1.450,0.212,2.070,0.046,0.073,-0.040,459.056,5.298,12.858,-0.289,2.184,0.000,-1.930
17.203,-1.488,0.228,1.931,0.038,0.050,-0.043,461.784,5.242,12.588,-0.050,2.013,0.000,-2.069
17.454,-1.553,0.245,1.703,0.027,0.014,-0.050,464.362,4.189,15.269,0.240,1.852,0.000,-2.297
17.706,-1.608,0.251,1.514,0.037,-0.002,-0.054,467.940,4.088,15.985,0.567,1.629,0.000,-2.486
17.958,-1.693,0.246,1.237,0.036,-0.011,-0.046,471.315,4.306,15.655,0.752,1.418,0.000,-2.763
18.210,-1.742,0.238,1.070,0.048,-0.016,-0.043,474.975,4.510,16.756,0.806,1.189,0.000,-2.930
18.462,-1.809,0.226,0.852,0.061,-0.018,-0.016,478.479,4.952,19.121,0.850,0.970,0.000,-3.148
18.714,-1.878,0.220,0.657,0.057,-0.017,-0.002,481.724,4.766,17.343,0.884,0.767,0.000,-3.343
18.967,-1.918,0.225,0.567,0.066,-0.024,-0.025,484.042,4.514,17.113,0.906,0.622,0.000,-3.433
19.220,-1.962,0.241,0.503,0.057,-0.026,-0.035,485.366,4.163,17.036,0.952,0.540,0.000,-3.497
19.472,-1.980,0.252,0.451,0.065,-0.025,-0.040,486.262,3.978,16.978,0.912,0.480,0.000,-3.549
19.725,-2.012,0.285,0.423,0.037,-0.022,-0.022,487.148,3.369,16.926,0.878,0.428,0.000,-3.577
19.978,-2.037,0.314,0.408,0.001,-0.037,-0.025,487.391,2.645,17.025,0.972,0.413,0.000,-3.592
20.230,-2.024,0.312,0.408,0.032,-0.035,-0.017,487.464,2.962,16.815,0.988,0.409,0.000,-3.592
20.482,-2.036,0.312,0.407,0.006,-0.038,-0.025,487.477,2.914,16.849,1.008,0.408,0.000,-3.593
20.735,-2.027,0.312,0.408,0.025,-0.021,-0.004,487.479,3.150,16.661,0.979,0.408,0.000,-3.592
20.987,-2.035,0.311,0.407,0.007,-0.035,-0.027,487.485,2.938,16.947,1.031,0.407,0.000,-3.593
21.239,-2.030,0.312,0.408,0.020,-0.027,-0.010,487.479,3.068,16.759,0.982,0.408,0.000,-3.592
21.492,-2.032,0.311,0.407,0.015,-0.034,-0.025,487.486,2.991,16.820,1.045,0.4
