Time, X, Y, Z, Pitch, Yaw, Roll, errorHeight, errorRoll, errorPitch, errorYaw, HLeadOut, HIntegralOut, HeightError
------------------------[Parameters]------------------------
HOVER_VALUE, ctrl_x->ref, ctrl_y->ref, ctrl_yaw->ref, ctrl_h->ref, ctrl_h->kp, ctrl_h->tau_i, ctrl_h->tau_d, ctrl_h->alpha, ctrl_vel_x->tau_i, ctrl_vel_x->tau_d, ctrl_vel_x->alpha
83.000, -0.192, 1.066, 0.046, 3.000, 44.025, 3.515, 1.661, 0.070, 0.000, 0.347, 0.300, 
------------------------[Parameters]------------------------
0.252,-0.190,1.066,0.427,0.013,0.042,-0.015,87.308,-0.003,-0.024,0.013,0.426,107.259,-2.573
0.504,-0.189,1.067,0.428,0.019,0.043,-0.016,87.464,-0.027,-0.088,0.007,0.427,115.315,-2.572
0.756,-0.195,1.088,0.451,0.044,0.039,0.047,87.616,-0.225,0.052,0.023,0.434,123.363,-2.549
1.009,-0.207,1.153,0.541,0.037,0.025,0.055,87.728,-1.855,0.395,0.152,0.485,131.339,-2.459
1.261,-0.217,1.255,0.681,0.045,0.014,-0.002,87.771,-5.111,0.661,0.293,0.609,139.027,-2.319
1.513,-0.224,1.372,0.862,0.051,0.006,-0.066,87.773,-7.397,0.682,0.404,0.771,146.270,-2.138
1.765,-0.229,1.471,1.064,0.046,-0.002,-0.100,87.738,-8.590,0.724,0.491,0.964,152.952,-1.936
2.018,-0.231,1.529,1.261,0.048,-0.001,-0.113,87.687,-8.545,0.691,0.548,1.162,159.015,-1.739
2.270,-0.230,1.537,1.445,0.049,-0.006,-0.118,87.629,-7.549,0.514,0.589,1.352,164.468,-1.555
2.522,-0.227,1.506,1.595,0.044,-0.008,-0.104,87.575,-5.053,0.309,0.607,1.526,169.349,-1.405
2.774,-0.222,1.433,1.774,0.044,-0.008,-0.057,87.516,-2.202,0.200,0.621,1.694,173.709,-1.226
3.025,-0.219,1.374,1.895,0.039,-0.014,-0.022,87.464,0.445,0.161,0.657,1.842,177.564,-1.105
3.277,-0.214,1.284,2.109,0.042,-0.016,0.022,87.382,0.385,0.081,0.679,2.013,180.916,-0.891
3.528,-0.214,1.253,2.261,0.041,-0.018,0.011,87.312,-1.501,0.221,0.711,2.159,183.763,-0.739
3.780,-0.217,1.245,2.400,0.038,-0.022,-0.024,87.220,-2.262,0.511,0.771,2.320,186.137,-0.600
4.032,-0.224,1.245,2.538,0.038,-0.029,-0.048,87.143,-2.782,0.788,0.835,2.454,188.062,-0.462
4.284,-0.232,1.241,2.657,0.043,-0.031,-0.058,87.044,-2.552,1.057,0.859,2.602,189.534,-0.343
4.535,-0.243,1.222,2.809,0.052,-0.027,-0.051,86.952,-1.807,1.179,0.851,2.733,190.573,-0.191
4.787,-0.248,1.197,2.924,0.055,-0.024,-0.039,86.857,-0.687,1.181,0.829,2.858,191.208,-0.076
5.039,-0.248,1.170,3.027,0.053,-0.026,-0.030,86.762,-0.141,0.841,0.818,2.975,191.489,0.027
5.290,-0.244,1.153,3.097,0.051,-0.025,-0.023,86.676,-0.187,0.531,0.809,3.072,191.402,0.097
5.542,-0.233,1.127,3.213,0.048,-0.021,-0.024,86.587,0.178,0.145,0.778,3.168,191.028,0.213
5.794,-0.221,1.113,3.288,0.046,-0.019,-0.026,86.501,0.092,-0.242,0.754,3.252,190.366,0.288
6.046,-0.207,1.103,3.352,0.045,-0.016,-0.030,86.424,0.082,-0.620,0.724,3.322,189.466,0.352
6.298,-0.196,1.094,3.409,0.036,-0.016,-0.034,86.349,-0.052,-0.440,0.717,3.384,188.361,0.409
6.550,-0.185,1.083,3.459,0.039,-0.018,-0.038,86.280,0.158,-0.453,0.705,3.435,187.079,0.459
6.802,-0.180,1.071,3.490,0.036,-0.013,-0.034,86.219,0.558,-0.503,0.701,3.474,185.654,0.490
7.053,-0.177,1.057,3.516,0.036,-0.010,-0.026,86.165,0.812,-0.469,0.713,3.502,184.124,0.516
7.305,-0.179,1.043,3.530,0.040,-0.010,-0.026,86.115,1.056,-0.176,0.697,3.523,182.517,0.530
7.557,-0.180,1.031,3.532,0.048,-0.012,-0.025,86.076,1.186,-0.090,0.672,3.531,180.863,0.532
7.809,-0.178,1.022,3.520,0.052,-0.013,-0.024,86.048,1.070,-0.292,0.696,3.526,179.205,0.520
8.061,-0.172,1.017,3.500,0.048,-0.013,-0.022,86.030,0.949,-0.580,0.690,3.510,177.579,0.500
8.313,-0.163,1.016,3.462,0.041,-0.013,-0.022,86.025,0.848,-0.832,0.684,3.480,176.026,0.462
8.565,-0.155,1.017,3.416,0.038,-0.014,-0.027,86.032,0.701,-0.939,0.679,3.440,174.582,0.416
8.817,-0.149,1.021,3.355,0.046,-0.014,-0.026,86.052,0.584,-0.962,0.689,3.387,173.286,0.355
9.068,-0.145,1.025,3.281,0.043,-0.016,-0.026,86.088,0.499,-0.947,0.705,3.320,172.173,0.281
9.320,-0.139,1.027,3.194,0.048,-0.020,-0.033,86.141,0.494,-1.107,0.736,3.238,171.296,0.194
9.572,-0.134,1.028,3.109,0.040,-0.022,-0.037,86.207,0.586,-1.078,0.762,3.148,170.690,0.109
9.824,-0.129,1.023,2.999,0.039,-0.025,-0.042,86.282,0.843,-1.179,0.785,3.053,170.374,-0.001
10.076,-0.127,1.014,2.901,0.037,-0.027,-0.042,86.366,1.281,-1.058,0.824,2.955,170.361,-0.099
10.328,-0.129,0.999,2.790,0.030,-0.029,-0.041,86.461,1.674,-0.842,0.833,2.844,170.694,-0.210
10.580,-0.135,0.985,2.685,0.040,-0.035,-0.032,86.577,1.761,-0.647,0.870,2.732,171.355,-0.315
10.832,-0.144,0.970,2.562,0.044,-0.034,-0.026,86.695,2.073,-0.307,0.887,2.618,172.369,-0.438
11.084,-0.153,0.961,2.446,0.043,-0.034,-0.031,86.824,1.981,-0.248,0.900,2.500,173.750,-0.554
11.336,-0.162,0.954,2.324,0.046,-0.036,-0.039,86.959,2.057,-0.048,0.913,2.382,175.499,-0.676
11.588,-0.170,0.947,2.198,0.044,-0.034,-0.037,87.108,2.249,0.120,0.927,2.257,177.630,-0.802
11.840,-0.178,0.936,2.055,0.046,-0.032,-0.039,87.266,2.567,0.324,0.924,2.131,180.146,-0.945
12.091,-0.186,0.923,1.917,0.047,-0.034,-0.048,87.438,2.874,0.348,0.931,1.997,183.068,-1.083
12.343,-0.190,0.909,1.779,0.053,-0.034,-0.041,87.629,3.119,0.293,0.909,1.852,186.435,-1.221
12.595,-0.192,0.896,1.655,0.055,-0.031,-0.031,87.825,3.527,0.248,0.896,1.710,190.251,-1.345
12.847,-0.190,0.884,1.504,0.051,-0.030,-0.028,88.035,3.458,0.007,0.884,1.563,194.522,-1.496
13.131,-0.186,0.874,1.355,0.040,-0.028,-0.030,88.297,3.520,-0.207,0.855,1.388,200.277,-1.645
13.383,-0.180,0.868,1.157,0.044,-0.027,-0.032,88.536,3.356,-0.263,0.829,1.230,205.520,-1.843
13.634,-0.175,0.863,1.002,0.053,-0.026,-0.044,88.782,3.531,-0.437,0.829,1.075,211.314,-1.998
13.886,-0.167,0.854,0.868,0.050,-0.027,-0.052,89.019,3.843,-0.765,0.805,0.942,217.557,-2.132
14.138,-0.155,0.840,0.755,0.050,-0.021,-0.044,89.256,4.350,-1.171,0.767,0.817,224.208,-2.245
14.389,-0.144,0.824,0.677,0.042,-0.017,-0.035,89.476,4.762,-1.371,0.746,0.720,231.195,-2.323
14.641,-0.131,0.810,0.637,0.047,-0.016,-0.016,89.673,5.008,-1.721,0.708,0.656,238.446,-2.363
14.893,-0.116,0.801,0.639,0.043,-0.017,-0.014,89.834,4.687,-1.799,0.703,0.636,245.828,-2.361
15.145,-0.105,0.805,0.684,0.043,-0.020,-0.023,89.960,4.052,-1.838,0.727,0.657,253.206,-2.316
15.396,-0.100,0.816,0.763,0.034,-0.021,-0.022,90.051,3.442,-1.660,0.748,0.717,260.458,-2.237
15.648,-0.100,0.831,0.856,0.035,-0.024,-0.029,90.117,2.869,-1.427,0.762,0.799,267.484,-2.144
15.900,-0.109,0.847,0.992,0.037,-0.024,-0.051,90.155,2.714,-0.895,0.799,0.917,274.636,-2.008
16.151,-0.120,0.857,1.131,0.052,-0.025,-0.043,90.165,2.821,-0.569,0.826,1.049,280.945,-1.869
16.403,-0.127,0.860,1.277,0.056,-0.027,-0.050,90.153,3.046,-0.476,0.827,1.196,286.831,-1.723
16.655,-0.130,0.858,1.445,0.058,-0.022,-0.045,90.134,3.335,-0.717,0.809,1.342,292.254,-1.555
16.907,-0.126,0.851,1.618,0.051,-0.023,-0.043,90.085,3.672,-1.065,0.794,1.510,297.162,-1.382
17.158,-0.118,0.843,1.783,0.046,-0.020,-0.031,90.008,3.897,-1.481,0.778,1.698,301.530,-1.217
17.410,-0.108,0.835,1.969,0.043,-0.020,-0.027,89.928,4.175,-1.835,0.734,1.878,305.309,-1.031
17.662,-0.097,0.829,2.173,0.043,-0.018,-0.028,89.821,3.983,-1.931,0.734,2.076,308.520,-0.827
17.914,-0.086,0.828,2.345,0.050,-0.017,-0.025,89.711,3.916,-2.087,0.724,2.262,311.117,-0.655
18.165,-0.073,0.828,2.551,0.043,-0.016,-0.026,89.579,3.744,-2.492,0.714,2.461,313.128,-0.449
18.417,-0.060,0.830,2.761,0.029,-0.017,-0.033,89.444,3.646,-2.648,0.719,2.650,314.519,-0.239
18.669,-0.053,0.832,2.947,0.030,-0.015,-0.030,89.298,3.601,-2.622,0.701,2.838,315.313,-0.053
18.920,-0.051,0.833,3.121,0.032,-0.013,-0.029,89.142,3.607,-2.355,0.674,3.024,315.545,0.121
19.172,-0.052,0.833,3.276,0.038,-0.012,-0.031,88.982,3.645,-2.072,0.655,3.202,315.183,0.276
19.424,-0.056,0.834,3.439,0.038,-0.009,-0.026,88.818,3.592,-1.852,0.637,3.372,314.286,0.439
19.676,-0.060,0.834,3.617,0.044,-0.010,-0.034,88.646,3.681,-1.853,0.629,3.540,312.854,0.617
19.927,-0.061,0.833,3.765,0.043,-0.011,-0.033,88.470,3.804,-1.973,0.641,3.700,310.910,0.765
20.179,-0.056,0.830,3.934,0.050,-0.011,-0.036,88.291,3.914,-2.392,0.644,3.854,308.475,0.934
20.431,-0.047,0.825,4.088,0.039,-0.010,-0.037,88.103,4.001,-2.639,0.634,4.006,305.564,1.088
20.683,-0.036,0.821,4.225,0.039,-0.006,-0.034,87.907,4.062,-2.927,0.611,4.157,302.177,1.225
20.935,-0.025,0.816,4.366,0.028,-0.007,-0.034,87.715,4.113,-3.070,0.596,4.293,298.338,1.366
21.187,-0.018,0.813,4.487,0.029,-0.004,-0.032,87.520,4.066,-2.965,0.591,4.423,294.084,1.487
21.486,-0.015,0.813,4.619,0.034,-0.005,-0.033,87.276,4.017,-2.839,0.585,4.572,288.137,1.619
21.738,-0.015,0.816,4.711,0.034,-0.002,-0.032,87.090,3.837,-2.836,0.557,4.672,283.056,1.711
21.990,-0.015,0.820,4.796,0.038,0.000,-0.035,86.912,3.684,-2.762,0.530,4.758,277.681,1.796
22.243,-0.016,0.823,4.859,0.037,0.001,-0.040,86.741,3.718,-2.734,0.495,4.830,272.062,1.859
22.496,-0.018,0.823,4.914,0.045,-0.002,-0.041,86.574,3.850,-2.600,0.504,4.891,266.233,1.914
22.748,-0.019,0.817,4.953,0.040,-0.004,-0.046,86.419,4.149,-2.643,0.539,4.935,260.240,1.953
23.001,-0.022,0.811,4.978,0.033,0.021,-0.006,86.272,4.385,-2.636,0.382,4.967,254.127,1.978
23.253,-0.024,0.800,4.991,0.036,0.028,0.012,86.136,4.546,-2.689,0.233,4.985,247.939,1.991
