Time, X, Y, Z, Pitch, Yaw, Roll, errorHeight, errorRoll, errorPitch, errorYaw, HLeadOut, HIntegralOut, HeightError
------------------------[Parameters]------------------------
HOVER_VALUE, ctrl_x->ref, ctrl_y->ref, ctrl_yaw->ref, ctrl_h->ref, ctrl_h->kp, ctrl_h->tau_i, ctrl_h->tau_d, ctrl_h->alpha, ctrl_vel_x->tau_i, ctrl_vel_x->tau_d, ctrl_vel_x->alpha
440.000, 0.092, 0.832, 0.212, 4.000, 12.445, 0.000, 1.745, 0.070, 0.000, 0.347, 0.300, 
------------------------[Parameters]------------------------
0.250,0.092,0.831,0.428,0.027,0.198,-0.024,484.460,0.099,-0.023,0.130,0.428,0.000,-3.572
0.503,0.090,0.832,0.430,0.027,0.201,-0.021,484.448,0.109,0.057,0.118,0.429,0.000,-3.570
0.755,0.092,0.849,0.478,0.037,0.192,0.049,484.152,-0.575,-0.065,0.111,0.452,0.000,-3.522
1.007,0.100,0.902,0.616,0.058,0.193,0.035,482.966,-2.723,0.326,0.163,0.548,0.000,-3.384
1.259,0.115,0.987,0.831,0.055,0.202,-0.018,480.751,-4.195,0.248,0.245,0.726,0.000,-3.169
1.511,0.130,1.082,1.108,0.050,0.179,-0.053,477.665,-5.792,0.154,0.357,0.974,0.000,-2.892
1.764,0.140,1.160,1.417,0.046,0.183,-0.096,474.014,-6.720,0.180,0.524,1.267,0.000,-2.583
2.016,0.146,1.200,1.734,0.054,0.178,-0.115,470.146,-7.141,0.175,0.505,1.578,0.000,-2.266
2.268,0.143,1.195,2.039,0.043,0.180,-0.108,466.307,-5.647,0.295,0.377,1.886,0.000,-1.961
2.520,0.135,1.148,2.336,0.051,0.187,-0.084,462.578,-3.811,-0.201,0.340,2.186,0.000,-1.664
2.773,0.115,1.071,2.611,0.009,0.367,0.217,459.130,-2.430,0.067,0.459,2.463,0.000,-1.389
3.025,0.106,0.984,2.845,0.052,0.179,-0.046,456.002,-0.294,0.952,0.080,2.714,0.000,-1.155
3.278,0.094,0.900,3.051,0.065,0.094,-0.154,453.115,0.987,1.386,0.148,2.946,0.000,-0.949
3.530,0.085,0.838,3.241,0.052,0.181,0.022,450.637,2.273,0.075,0.152,3.145,0.000,-0.759
3.783,0.080,0.811,3.385,0.034,0.152,0.037,448.580,1.652,0.775,0.529,3.311,0.000,-0.615
4.035,0.079,0.812,3.493,0.063,0.160,0.037,446.972,0.464,0.105,0.459,3.440,0.000,-0.507
4.288,0.075,0.845,3.562,0.033,0.161,0.001,445.891,-0.908,0.597,0.474,3.527,0.000,-0.438
4.540,0.071,0.892,3.587,0.043,0.161,-0.023,445.310,-1.817,0.617,0.481,3.573,0.000,-0.413
4.792,0.064,0.936,3.574,0.053,0.175,-0.048,445.213,-2.674,1.089,0.511,3.581,0.000,-0.426
5.044,0.057,0.967,3.523,0.065,0.177,-0.064,445.585,-2.879,1.628,0.374,3.551,0.000,-0.477
5.296,0.050,0.973,3.431,0.062,0.179,-0.088,446.524,-2.275,1.465,0.382,3.476,0.000,-0.569
5.548,0.053,0.954,3.301,0.066,0.082,-0.225,447.843,-1.042,1.295,0.125,3.370,0.000,-0.699
5.800,0.057,0.916,3.167,0.082,0.190,-0.035,449.522,-0.333,0.890,0.265,3.235,0.000,-0.833
6.052,0.073,0.857,2.968,0.068,0.178,-0.041,451.628,2.472,-1.392,0.311,3.066,0.000,-1.032
6.305,0.090,0.809,2.772,0.033,0.174,-0.002,454.091,1.980,-1.117,0.321,2.868,0.000,-1.228
6.557,0.101,0.765,2.556,0.007,0.297,0.157,456.667,2.672,-1.560,0.164,2.661,0.000,-1.444
6.809,0.111,0.735,2.316,0.047,0.173,-0.016,459.487,2.338,-0.887,0.220,2.434,0.000,-1.684
7.062,0.115,0.712,2.069,0.038,0.179,-0.041,462.494,2.099,-0.112,0.299,2.193,0.000,-1.931
7.314,0.120,0.694,1.815,0.069,0.187,-0.031,465.594,2.725,-0.358,0.263,1.943,0.000,-2.185
7.566,0.126,0.676,1.561,0.031,0.201,0.066,468.749,2.776,-0.819,-0.143,1.690,0.000,-2.439
7.819,0.142,0.660,1.294,0.017,0.148,0.027,471.960,3.430,-2.154,0.115,1.432,0.000,-2.706
8.071,0.150,0.649,1.039,0.031,0.195,-0.031,475.148,3.130,-1.501,0.117,1.176,0.000,-2.961
8.323,0.158,0.637,0.805,0.051,0.191,-0.030,478.202,3.470,-2.409,0.003,0.930,0.000,-3.195
8.576,0.155,0.629,0.628,0.037,0.194,-0.036,480.946,3.336,-1.587,0.266,0.710,0.000,-3.372
8.828,0.152,0.615,0.444,0.067,0.198,-0.038,483.224,3.718,-1.403,0.043,0.527,0.000,-3.556
9.080,0.134,0.632,0.494,0.012,0.327,0.163,483.979,2.759,-1.860,-0.034,0.466,0.000,-3.506
9.333,0.116,0.647,0.618,0.017,0.313,0.142,482.968,2.267,-0.161,0.023,0.547,0.000,-3.382
9.585,0.094,0.649,0.776,0.036,0.335,0.173,481.304,2.943,-0.476,0.319,0.681,0.000,-3.224
9.838,0.076,0.636,0.945,0.055,0.193,-0.029,479.203,3.471,-0.321,0.119,0.850,0.000,-3.055
10.090,0.062,0.611,1.129,0.054,0.205,-0.024,476.928,4.399,0.112,0.130,1.033,0.000,-2.871
10.343,0.053,0.583,1.338,0.061,0.280,0.090,474.401,3.660,-0.893,0.071,1.236,0.000,-2.662
10.596,0.057,0.552,1.518,0.061,0.209,-0.036,472.014,4.533,-0.034,0.065,1.428,0.000,-2.482
10.848,0.068,0.525,1.701,0.065,0.205,-0.009,469.686,5.362,-1.040,0.102,1.615,0.000,-2.299
11.101,0.082,0.505,1.879,0.031,0.178,0.012,467.523,5.480,-1.492,0.018,1.788,0.000,-2.121
11.354,0.094,0.501,2.037,0.038,0.201,-0.019,465.419,5.363,-1.859,-0.105,1.958,0.000,-1.963
11.607,0.101,0.508,2.181,0.032,0.204,-0.022,463.561,4.588,-1.582,0.066,2.107,0.000,-1.819
11.859,0.097,0.522,2.311,0.013,0.308,0.138,461.889,4.590,-1.985,0.068,2.241,0.000,-1.689
12.112,0.089,0.543,2.412,0.038,0.189,0.004,460.433,3.859,-2.329,-0.203,2.358,0.000,-1.588
12.365,0.063,0.556,2.504,0.004,0.322,0.159,459.242,3.770,-0.396,0.016,2.454,0.000,-1.496
12.618,0.040,0.566,2.563,0.058,0.188,-0.036,458.277,3.953,0.885,-0.466,2.531,0.000,-1.437
12.871,0.017,0.567,2.601,0.071,0.172,-0.031,457.649,4.175,1.536,0.074,2.582,0.000,-1.399
13.124,0.004,0.564,2.613,0.076,0.168,0.005,457.327,4.921,1.390,0.259,2.608,0.000,-1.387
13.377,0.004,0.548,2.595,0.054,0.175,-0.023,457.338,4.693,0.740,0.182,2.607,0.000,-1.405
13.630,0.015,0.533,2.552,0.059,0.210,0.040,457.744,5.533,-0.061,0.189,2.574,0.000,-1.448
13.883,0.031,0.509,2.475,0.045,0.191,-0.023,458.474,5.905,-1.232,0.244,2.516,0.000,-1.525
14.136,0.039,0.490,2.379,0.018,0.184,-0.006,459.521,5.463,-0.574,0.064,2.431,0.000,-1.621
14.389,0.042,0.474,2.260,0.038,0.196,-0.040,460.829,6.061,-0.855,0.034,2.326,0.000,-1.740
14.642,0.041,0.464,2.126,0.051,0.192,-0.023,462.355,5.881,-0.508,-0.123,2.204,0.000,-1.874
14.895,0.032,0.455,1.984,0.031,0.273,0.093,464.115,6.220,-1.468,-0.068,2.062,0.000,-2.016
15.147,0.028,0.447,1.827,0.037,0.202,-0.033,465.981,7.005,-1.960,0.174,1.912,0.000,-2.173
15.400,0.017,0.445,1.667,0.048,0.197,-0.021,468.023,6.193,-0.239,0.109,1.748,0.000,-2.333
15.654,0.005,0.446,1.483,0.074,0.185,-0.029,470.167,6.333,0.405,0.387,1.576,0.000,-2.517
15.907,0.006,0.447,1.310,0.089,0.193,-0.043,472.320,6.416,0.142,0.341,1.403,0.000,-2.690
16.160,0.020,0.444,1.132,0.071,0.090,-0.232,474.475,6.031,0.767,0.255,1.230,0.000,-2.868
16.413,0.037,0.430,0.960,0.050,0.189,-0.034,476.689,6.550,-0.537,-0.096,1.052,0.000,-3.040
16.666,0.053,0.416,0.796,0.024,0.283,0.113,478.845,7.054,-2.559,0.253,0.879,0.000,-3.204
16.919,0.064,0.395,0.647,0.016,0.186,-0.019,480.738,7.194,-1.631,-0.049,0.727,0.000,-3.353
17.171,0.066,0.381,0.549,0.041,0.198,-0.025,482.277,7.605,-1.885,-0.475,0.603,0.000,-3.451
17.424,0.063,0.370,0.506,0.088,0.208,-0.090,483.184,8.018,-0.518,-0.158,0.530,0.000,-3.494
17.677,0.071,0.362,0.527,0.076,0.194,-0.006,483.330,7.286,-0.434,0.037,0.518,0.000,-3.473
17.931,0.091,0.363,0.603,0.062,0.193,-0.014,482.773,6.889,-2.224,0.202,0.563,0.000,-3.397
18.184,0.112,0.372,0.703,0.035,0.231,0.016,481.635,6.264,-2.590,0.094,0.654,0.000,-3.297
18.437,0.125,0.384,0.858,-0.007,0.388,0.248,480.081,5.068,-3.910,-0.218,0.779,0.000,-3.142
18.690,0.124,0.404,1.018,0.017,0.184,-0.042,478.193,5.807,-1.025,-0.384,0.931,0.000,-2.982
18.943,0.100,0.422,1.195,0.022,0.247,0.112,476.152,5.750,-0.479,0.015,1.095,0.000,-2.805
19.196,0.075,0.435,1.362,0.056,0.166,-0.036,474.061,5.814,0.617,0.402,1.263,0.000,-2.638
19.449,0.050,0.443,1.529,0.024,0.135,0.001,471.938,5.832,0.801,0.558,1.434,0.000,-2.471
19.700,0.010,0.423,1.683,0.002,0.147,-0.122,469.945,7.216,1.322,0.385,1.594,0.000,-2.317
19.953,-0.033,0.398,1.847,0.013,0.276,0.195,467.982,8.520,0.893,0.134,1.752,0.000,-2.153
20.206,-0.078,0.374,1.985,0.036,0.162,0.057,466.023,8.138,3.326,0.111,1.909,0.000,-2.015
20.458,-0.122,0.396,2.060,0.038,0.173,0.016,464.639,7.307,3.710,0.260,2.020,0.000,-1.940
20.711,-0.160,0.450,2.051,0.020,0.157,0.022,464.192,5.168,4.555,0.390,2.056,0.000,-1.949
20.964,-0.196,0.531,1.969,0.052,0.180,-0.019,464.752,3.273,5.221,0.380,2.011,0.000,-2.031
21.216,-0.225,0.621,1.873,0.046,0.190,-0.020,465.849,2.147,5.469,0.147,1.923,0.000,-2.127
21.469,-0.254,0.702,1.787,0.022,0.174,-0.081,466.970,1.370,6.602,0.281,1.833,0.000,-2.213
21.722,-0.281,0.752,1.704,0.030,0.185,-0.083,468.068,1.004,7.067,0.438,1.745,0.000,-2.296
21.975,-0.320,0.
