Time, X, Y, Z, Pitch, Yaw, Roll, errorHeight, errorRoll, errorPitch, errorYaw, HLeadOut, HIntegralOut, HeightError
------------------------[Parameters]------------------------
HOVER_VALUE, ctrl_x->ref, ctrl_y->ref, ctrl_yaw->ref, ctrl_h->ref, ctrl_h->kp, ctrl_h->tau_i, ctrl_h->tau_d, ctrl_h->alpha, ctrl_vel_x->tau_i, ctrl_vel_x->tau_d, ctrl_vel_x->alpha
400.000, -1.713, 0.332, -0.105, 4.000, 20.000, 0.000, 0.745, 0.070, 0.000, 0.347, 0.300, 
------------------------[Parameters]------------------------
0.252,-1.713,0.332,0.410,0.016,-0.107,-0.022,471.805,-0.006,-0.008,0.010,0.410,0.000,-3.590
0.504,-1.712,0.336,0.413,0.021,-0.107,-0.010,471.780,-0.098,-0.107,0.002,0.411,0.000,-3.587
0.756,-1.711,0.357,0.442,0.051,-0.107,0.042,471.304,-0.491,-0.100,0.001,0.435,0.000,-3.558
1.009,-1.713,0.437,0.597,0.054,-0.121,0.045,469.311,-1.926,-0.234,0.094,0.534,0.000,-3.403
1.261,-1.714,0.518,0.753,0.044,-0.123,0.014,465.809,-4.105,-0.476,0.178,0.710,0.000,-3.247
1.512,-1.715,0.640,0.998,0.040,-0.131,-0.029,461.017,-9.919,-1.261,0.265,0.949,0.000,-3.002
1.764,-1.720,0.750,1.309,0.026,-0.133,-0.134,454.963,-7.669,-0.905,0.323,1.252,0.000,-2.691
2.017,-1.721,0.801,1.543,0.038,-0.137,-0.106,449.741,-7.976,-0.934,0.352,1.513,0.000,-2.457
2.269,-1.723,0.803,1.857,0.032,-0.141,-0.122,444.302,-7.452,-0.899,0.378,1.785,0.000,-2.143
2.521,-1.722,0.777,1.993,0.030,-0.142,-0.116,440.394,-6.758,-0.791,0.410,1.980,0.000,-2.007
2.772,-1.721,0.652,2.271,0.038,-0.143,-0.082,436.255,-4.025,-0.473,0.434,2.187,0.000,-1.729
3.024,-1.717,0.559,2.387,0.043,-0.148,-0.058,432.686,-2.507,-0.341,0.469,2.366,0.000,-1.613
3.276,-1.710,0.410,2.507,0.045,-0.145,-0.008,430.541,0.101,-0.068,0.478,2.473,0.000,-1.493
3.528,-1.703,0.322,2.545,0.050,-0.147,0.014,429.255,1.251,-0.066,0.478,2.537,0.000,-1.455
3.780,-1.694,0.245,2.545,0.051,-0.149,0.020,429.063,3.820,0.040,0.487,2.547,0.000,-1.455
4.032,-1.680,0.203,2.494,0.060,-0.150,0.064,429.914,3.721,-0.302,0.525,2.504,0.000,-1.506
4.284,-1.668,0.210,2.412,0.054,-0.150,0.071,431.497,1.945,-1.257,0.524,2.425,0.000,-1.588
4.535,-1.652,0.283,2.241,0.045,-0.155,0.036,434.479,-0.209,-1.483,0.556,2.276,0.000,-1.759
4.787,-1.644,0.356,2.101,0.033,-0.153,0.005,437.600,-3.568,-2.062,0.562,2.120,0.000,-1.899
5.039,-1.635,0.491,1.818,0.028,-0.156,-0.083,442.312,-5.376,-2.347,0.573,1.884,0.000,-2.182
5.290,-1.634,0.528,1.723,0.021,-0.154,-0.099,445.470,-3.865,-1.913,0.571,1.727,0.000,-2.277
5.542,-1.631,0.618,1.301,0.039,-0.158,-0.101,451.632,-5.144,-2.140,0.574,1.418,0.000,-2.699
5.793,-1.631,0.620,1.188,0.028,-0.156,-0.124,456.065,-4.530,-2.005,0.597,1.197,0.000,-2.812
6.045,-1.624,0.573,0.823,0.041,-0.154,-0.107,460.834,-3.003,-1.988,0.578,0.958,0.000,-3.177
6.296,-1.619,0.516,0.650,0.039,-0.155,-0.093,466.003,0.744,-1.747,0.577,0.700,0.000,-3.350
6.548,-1.605,0.411,0.446,0.048,-0.152,-0.046,470.633,3.683,-1.713,0.548,0.468,0.000,-3.554
6.800,-1.612,0.312,0.508,0.023,-0.144,-0.001,470.485,3.043,-1.206,0.486,0.476,0.000,-3.492
7.052,-1.621,0.277,0.612,0.050,-0.140,0.009,467.989,2.174,-0.979,0.444,0.601,0.000,-3.388
7.304,-1.637,0.234,0.892,0.074,-0.139,0.007,463.978,2.687,-0.408,0.388,0.801,0.000,-3.108
7.555,-1.638,0.232,1.015,0.075,-0.137,0.005,459.926,2.066,-0.770,0.384,1.004,0.000,-2.985
7.807,-1.623,0.257,1.289,0.064,-0.134,-0.002,455.179,0.901,-1.626,0.372,1.241,0.000,-2.711
8.059,-1.600,0.295,1.501,0.046,-0.130,-0.027,451.024,-0.620,-2.818,0.337,1.449,0.000,-2.499
8.311,-1.571,0.342,1.724,0.021,-0.125,-0.052,447.135,-0.952,-3.128,0.250,1.643,0.000,-2.276
8.562,-1.557,0.364,1.853,0.015,-0.120,-0.053,443.908,-1.174,-3.269,0.196,1.805,0.000,-2.147
8.814,-1.550,0.375,2.000,0.015,-0.119,-0.070,441.043,-0.730,-2.917,0.188,1.948,0.000,-2.000
9.066,-1.551,0.368,2.057,0.019,-0.119,-0.066,439.225,0.063,-2.489,0.159,2.039,0.000,-1.943
9.317,-1.559,0.344,2.106,0.030,-0.119,-0.051,438.041,1.174,-1.921,0.171,2.098,0.000,-1.894
9.569,-1.572,0.309,2.117,0.035,-0.122,-0.037,437.673,1.857,-1.527,0.196,2.116,0.000,-1.883
9.821,-1.588,0.269,2.086,0.037,-0.127,-0.031,438.181,2.768,-1.011,0.235,2.091,0.000,-1.914
10.072,-1.599,0.235,2.009,0.061,-0.122,-0.009,439.436,3.097,-0.921,0.232,2.028,0.000,-1.991
10.325,-1.607,0.216,1.895,0.053,-0.129,-0.013,441.816,2.521,-1.138,0.254,1.909,0.000,-2.105
10.576,-1.607,0.209,1.756,0.050,-0.122,-0.016,444.249,2.330,-1.357,0.256,1.788,0.000,-2.244
10.828,-1.605,0.209,1.601,0.042,-0.127,-0.036,447.598,2.170,-1.478,0.229,1.620,0.000,-2.399
11.080,-1.599,0.214,1.326,0.039,-0.121,-0.034,451.540,2.036,-1.624,0.207,1.423,0.000,-2.674
11.331,-1.595,0.214,1.156,0.035,-0.124,-0.044,455.330,2.040,-1.735,0.200,1.233,0.000,-2.844
11.583,-1.592,0.211,0.988,0.035,-0.118,-0.042,459.793,2.223,-1.862,0.167,1.010,0.000,-3.012
11.835,-1.588,0.202,0.706,0.040,-0.115,-0.035,464.846,2.543,-1.773,0.129,0.758,0.000,-3.294
12.086,-1.586,0.191,0.552,0.044,-0.115,-0.038,468.542,2.633,-1.744,0.121,0.573,0.000,-3.448
12.338,-1.581,0.181,0.416,0.055,-0.110,0.000,471.067,2.799,-1.878,0.116,0.447,0.000,-3.584
12.590,-1.597,0.206,0.472,0.025,-0.109,-0.014,470.764,2.019,-1.583,0.065,0.462,0.000,-3.528
12.842,-1.620,0.247,0.635,0.049,-0.125,-0.062,468.509,1.147,-1.138,0.125,0.575,0.000,-3.365
13.094,-1.637,0.265,0.778,0.047,-0.119,-0.062,465.289,0.189,-0.413,0.172,0.736,0.000,-3.222
13.346,-1.650,0.269,0.926,0.055,-0.128,-0.071,461.770,0.879,-0.559,0.246,0.912,0.000,-3.074
13.597,-1.660,0.253,1.150,0.052,-0.126,-0.060,457.834,1.461,-0.386,0.236,1.108,0.000,-2.850
13.849,-1.659,0.228,1.290,0.055,-0.126,-0.046,454.488,1.940,-0.557,0.247,1.276,0.000,-2.710
14.101,-1.648,0.182,1.459,0.050,-0.125,-0.042,451.749,3.670,-0.804,0.258,1.413,0.000,-2.541
14.353,-1.636,0.149,1.553,0.047,-0.123,-0.024,449.180,3.847,-0.982,0.220,1.541,0.000,-2.447
14.605,-1.615,0.109,1.648,0.046,-0.122,-0.011,447.447,4.554,-1.421,0.190,1.628,0.000,-2.352
14.902,-1.589,0.084,1.700,0.048,-0.118,-0.001,446.247,4.616,-1.864,0.188,1.688,0.000,-2.300
15.153,-1.573,0.081,1.703,0.042,-0.118,0.003,445.934,4.299,-1.882,0.159,1.703,0.000,-2.297
15.405,-1.552,0.097,1.669,0.037,-0.119,0.001,446.313,3.860,-2.289,0.163,1.684,0.000,-2.331
15.656,-1.541,0.119,1.618,0.033,-0.122,-0.011,447.315,2.826,-2.902,0.181,1.634,0.000,-2.382
15.908,-1.533,0.164,1.502,0.023,-0.118,-0.021,448.130,2.543,-2.743,0.161,1.593,0.000,-2.498
16.160,-1.532,0.196,1.408,0.027,-0.122,-0.033,451.278,1.398,-2.800,0.168,1.436,0.000,-2.592
16.412,-1.539,0.229,1.285,0.017,-0.120,-0.051,454.070,1.338,-2.540,0.180,1.297,0.000,-2.715
16.664,-1.558,0.262,1.088,0.032,-0.124,-0.056,457.487,0.586,-2.019,0.174,1.126,0.000,-2.912
16.915,-1.572,0.269,0.957,0.041,-0.129,-0.068,460.386,0.748,-1.490,0.237,0.981,0.000,-3.043
17.167,-1.588,0.262,0.791,0.051,-0.131,-0.071,463.816,1.362,-1.527,0.285,0.809,0.000,-3.209
17.419,-1.595,0.229,0.624,0.055,-0.135,-0.064,467.177,2.546,-1.236,0.338,0.641,0.000,-3.376
17.670,-1.588,0.186,0.521,0.066,-0.134,-0.048,469.261,2.981,-1.616,0.324,0.537,0.000,-3.479
17.922,-1.565,0.124,0.460,0.056,-0.134,-0.031,470.657,5.082,-2.128,0.328,0.467,0.000,-3.540
18.174,-1.533,0.078,0.477,0.054,-0.128,0.014,470.649,4.536,-2.384,0.328,0.468,0.000,-3.523
18.426,-1.496,0.052,0.549,0.058,-0.134,0.003,469.396,5.822,-3.575,0.331,0.530,0.000,-3.451
18.678,-1.461,0.056,0.651,0.035,-0.137,0.025,467.353,5.001,-4.472,0.375,0.632,0.000,-3.349
18.930,-1.428,0.093,0.805,-0.004,-0.132,0.014,464.509,3.947,-4.671,0.321,0.775,0.000,-3.195
19.182,-1.423,0.139,0.921,-0.013,-0.134,-0.002,461.902,1.954,-4.485,0.333,0.905,0.000,-3.079
19.434,-1.453,0.213,1.081,-0.007,-0.128,-0.033,459.107,1.551,-3.781,0.305,1.045,0.000,-2.919
19.685,-1.491,0.259,1.178,0.011,-0.133,-0.047,456.750,-0.354,-2.213,0.289,1.163,0.000,-2.822
19.937,-1.570,0.306,1.320,0.041,-0.137,-0.085,454.641,-0.103,-1.388,0.326,1.268,0.000,-2.680
20.188,-1.615,0.309,1.386,0.054,-0.134,-0.084,452.524,0.107,0.113,0.352,1.374,0.000,-2.614
20.440,-1.661,0.275,1.458,0.085,-0.141,-0.074,451.394,1.112,0.708,0.361,1.430,0.000,-2.542
20.692,-1.670,0.234,1.486,0.088,-0.139,-0.066,450.417,3.111,0.527,0.387,1.479,0.000,-2.514
20.944,-1.658,0.177,1.499,0.089,-0.136,-0.029,450.081,4.154,-0.176,0.388,1.496,0.000,-2.501
21.195,-1.618,0.116,1.487,0.068,-0.137,-0.014,450.191,5.432,-1.601,0.348,1.490,0.000,-2.513
21.447,-1.584,0.090,1.463,0.055,-0.133,0.014,450.700,4.772,-2.114,0.330,1.465,0.000,-2.537
21.699,-1.515,0.064,1.378,0.033,-0.131,0.011,452.131,4.968,-3.164,0.329,1.393,0.000,-2.622
21.951,-1.483,0.066,1.316,0.025,-0.135,0.004,453.523,4.698,-3.571,0.339,1.324,0.000,-2.684
22.203,-1.450,0.085,1.208,0.017,-0.135,-0.002,455.588,4.159,-4.273,0.340,1.221,0.000,-2.792
22.455,-1.439,0.119,1.075,0.000,-0.141,-0.022,458.212,2.898,-4.444,0.403,1.089,0.000,-2.925
22.706,-1.456,0.151,0.943,-0.003,-0.145,-0.042,459.749,2.894,-3.502,0.428,1.013,0.000,-3.057
22.958,-1.486,0.172,0.839,0.021,-0.148,-0.048,462.911,2.222,-2.691,0.450,0.854,0.000,-3.161
