Time, X, Y, Z, Pitch, Yaw, Roll, errorHeight, errorRoll, errorPitch, errorYaw
0.299,-1.069,1.178,0.396,-0.009,-0.018,-0.018,89.892,-0.000,-0.019,0.011
0.597,-1.071,1.180,0.399,-0.013,-0.027,-0.008,90.187,-0.053,0.009,0.024
0.848,-1.078,1.205,0.428,0.015,-0.034,0.050,90.420,-0.350,0.104,0.069
1.099,-1.095,1.256,0.482,0.026,-0.042,0.060,90.627,-1.014,0.298,0.169
1.350,-1.113,1.320,0.541,0.018,-0.049,0.039,90.801,-0.972,0.242,0.265
1.602,-1.146,1.450,0.643,0.022,-0.055,0.033,90.935,-1.835,0.393,0.342
1.853,-1.190,1.627,0.762,0.030,-0.058,0.009,91.047,-3.708,0.745,0.377
2.105,-1.241,1.842,0.877,0.042,-0.061,-0.031,91.130,-5.201,0.968,0.432
2.356,-1.275,2.005,0.950,0.043,-0.067,-0.068,91.053,-5.691,0.997,0.469
2.608,-1.300,2.135,1.002,0.044,-0.066,-0.084,90.990,-6.278,1.012,0.472
2.859,-1.315,2.238,1.040,0.051,-0.063,-0.089,90.945,-6.712,1.029,0.475
3.111,-1.319,2.295,1.055,0.049,-0.063,-0.102,90.917,-6.413,0.971,0.474
3.363,-1.310,2.311,1.052,0.052,-0.062,-0.095,90.909,-5.957,0.856,0.445
3.614,-1.290,2.288,1.032,0.050,-0.063,-0.095,90.918,-5.604,0.672,0.447
3.866,-1.261,2.233,0.995,0.049,-0.062,-0.089,90.931,-5.072,0.318,0.461
4.117,-1.230,2.166,0.952,0.048,-0.065,-0.091,90.979,-4.032,-0.033,0.465
4.368,-1.172,2.026,0.865,0.051,-0.066,-0.080,91.038,-4.146,0.078,0.479
4.620,-1.126,1.915,0.799,0.051,-0.071,-0.080,91.109,-3.518,-0.134,0.524
4.871,-1.047,1.721,0.696,0.047,-0.075,-0.070,91.187,-2.938,-0.331,0.573
5.123,-0.981,1.566,0.623,0.045,-0.079,-0.070,91.272,-1.567,-0.797,0.612
5.374,-0.915,1.414,0.559,0.041,-0.080,-0.050,91.352,-0.611,-1.143,0.639
5.626,-0.804,1.177,0.483,0.041,-0.080,-0.030,91.418,2.062,-2.144,0.658
5.878,-0.729,1.026,0.452,0.016,-0.082,0.014,91.469,1.435,-1.941,0.665
6.129,-0.624,0.824,0.447,0.033,-0.083,-0.002,91.489,2.927,-2.587,0.666
6.381,-0.562,0.717,0.469,0.031,-0.081,0.020,91.479,3.145,-2.738,0.670
6.633,-0.475,0.592,0.527,0.019,-0.082,0.034,91.446,3.631,-3.062,0.708
6.884,-0.425,0.541,0.574,0.018,-0.087,0.041,91.398,3.921,-3.324,0.728
7.136,-0.377,0.525,0.652,-0.006,-0.080,0.052,91.335,3.844,-3.624,0.705
7.388,-0.370,0.560,0.709,-0.010,-0.085,0.039,91.273,3.334,-3.568,0.708
7.640,-0.391,0.634,0.756,-0.011,-0.080,0.033,91.222,2.439,-3.215,0.683
7.892,-0.440,0.737,0.791,0.007,-0.076,0.020,91.182,1.708,-2.857,0.642
8.143,-0.480,0.814,0.806,0.006,-0.073,0.012,91.154,1.243,-2.621,0.593
8.395,-0.573,0.986,0.814,0.026,-0.071,-0.001,91.142,0.242,-2.152,0.563
8.646,-0.638,1.111,0.802,0.035,-0.065,-0.009,91.145,-0.075,-2.043,0.504
8.898,-0.724,1.298,0.769,0.037,-0.064,-0.033,91.161,-0.839,-1.770,0.464
9.150,-0.777,1.425,0.733,0.040,-0.058,-0.037,91.195,-2.241,-1.286,0.428
9.402,-0.837,1.592,0.665,0.056,-0.058,-0.066,91.242,-2.478,-1.277,0.412
9.653,-0.862,1.683,0.617,0.059,-0.055,-0.069,91.295,-2.883,-1.210,0.393
9.905,-0.876,1.758,0.565,0.056,-0.056,-0.093,91.352,-3.228,-1.193,0.389
10.157,-0.867,1.818,0.499,0.068,-0.057,-0.105,91.405,-3.654,-1.343,0.370
10.408,-0.845,1.823,0.460,0.060,-0.057,-0.110,91.456,-3.467,-1.478,0.383
10.660,-0.788,1.778,0.422,0.060,-0.054,-0.100,91.496,-3.087,-1.774,0.374
10.912,-0.762,1.729,0.450,0.067,-0.058,-0.109,91.498,-2.755,-1.885,0.393
11.164,-0.701,1.603,0.519,0.049,-0.061,-0.090,91.459,-1.349,-2.473,0.407
11.416,-0.646,1.478,0.576,0.032,-0.058,-0.054,91.402,-0.385,-2.772,0.409
11.667,-0.594,1.351,0.628,0.022,-0.056,-0.035,91.347,0.405,-3.018,0.383
11.919,-0.547,1.207,0.680,-0.010,-0.058,-0.017,91.296,0.959,-3.147,0.398
12.171,-0.522,1.082,0.717,-0.005,-0.063,-0.008,91.254,1.850,-3.060,0.432
12.423,-0.520,0.972,0.739,0.004,-0.068,0.004,91.224,3.066,-2.772,0.483
12.674,-0.537,0.882,0.748,0.021,-0.067,0.011,91.208,2.652,-2.552,0.538
12.926,-0.568,0.820,0.741,0.024,-0.071,0.009,91.205,2.588,-2.329,0.579
13.178,-0.594,0.792,0.729,0.027,-0.075,0.009,91.215,2.522,-2.044,0.588
13.430,-0.649,0.770,0.696,0.028,-0.077,0.010,91.234,2.423,-1.970,0.606
13.681,-0.690,0.773,0.669,0.033,-0.079,0.002,91.263,2.271,-1.490,0.635
13.933,-0.747,0.804,0.629,0.041,-0.077,0.002,91.292,2.076,-1.457,0.622
14.185,-0.781,0.839,0.600,0.034,-0.077,-0.001,91.326,1.453,-1.040,0.611
14.436,-0.826,0.907,0
