Time, X, Y, Z, Pitch, Yaw, Roll, errorHeight, errorRoll, errorPitch, errorYaw, HLeadOut, HIntegralOut, HeightError
------------------------[Parameters]------------------------
HOVER_VALUE, ctrl_x->ref, ctrl_y->ref, ctrl_yaw->ref, ctrl_h->ref, ctrl_h->kp, ctrl_h->tau_i, ctrl_h->tau_d, ctrl_h->alpha, ctrl_vel_x->tau_i, ctrl_vel_x->tau_d, ctrl_vel_x->alpha
84.000, -0.131, 3.395, 1.534, 3.000, 28.964, 6.447, 1.802, 0.070, 0.000, 0.347, 0.300, 
------------------------[Parameters]------------------------
0.252,-0.131,3.394,0.411,0.022,1.531,-0.027,86.221,0.012,-0.013,0.026,0.411,38.714,-2.589
0.503,-0.131,3.396,0.412,0.022,1.531,-0.028,86.277,-0.016,0.032,0.017,0.412,41.622,-2.588
0.755,-0.117,3.390,0.424,0.056,1.535,0.017,86.331,-0.537,-0.235,-0.017,0.417,44.527,-2.576
1.006,-0.078,3.385,0.454,0.067,1.532,0.040,86.375,-1.763,-0.363,0.023,0.438,47.417,-2.546
1.258,-0.012,3.380,0.500,0.035,1.521,-0.007,86.410,-3.225,-0.497,0.100,0.475,50.275,-2.500
1.509,0.063,3.375,0.553,0.040,1.515,-0.044,86.438,-4.770,-0.671,0.182,0.523,53.085,-2.447
1.761,0.125,3.378,0.600,0.041,1.511,-0.076,86.463,-5.341,-0.530,0.247,0.574,55.838,-2.400
2.013,0.159,3.382,0.629,0.048,1.507,-0.095,86.494,-5.419,-0.427,0.281,0.613,58.539,-2.371
2.265,0.158,3.390,0.632,0.043,1.507,-0.090,86.536,-4.537,-0.244,0.314,0.631,61.207,-2.368
2.517,0.121,3.396,0.608,0.050,1.501,-0.083,86.593,-3.150,-0.071,0.329,0.622,63.871,-2.392
2.769,0.057,3.403,0.562,0.048,1.499,-0.067,86.664,-1.672,0.125,0.387,0.588,66.558,-2.438
3.020,-0.024,3.403,0.509,0.064,1.500,-0.043,86.746,0.200,0.161,0.410,0.539,69.294,-2.491
3.307,-0.123,3.396,0.445,0.063,1.496,-0.016,86.847,1.631,-0.021,0.389,0.475,72.654,-2.555
3.559,-0.196,3.386,0.415,0.066,1.495,-0.032,86.929,2.620,-0.218,0.441,0.429,75.516,-2.585
3.811,-0.226,3.392,0.459,0.065,1.495,0.015,86.983,2.198,0.201,0.449,0.440,78.596,-2.541
4.063,-0.241,3.391,0.506,0.066,1.494,0.003,87.015,2.074,0.056,0.469,0.483,81.448,-2.494
4.314,-0.237,3.383,0.539,0.055,1.493,-0.017,87.047,1.621,-0.258,0.471,0.522,84.252,-2.461
4.566,-0.221,3.372,0.556,0.056,1.492,-0.023,87.087,1.130,-0.515,0.469,0.547,87.019,-2.444
4.818,-0.200,3.362,0.559,0.039,1.495,-0.035,87.135,0.718,-0.690,0.456,0.557,89.767,-2.441
5.069,-0.180,3.354,0.555,0.043,1.498,-0.034,87.189,0.375,-0.822,0.419,0.557,92.510,-2.445
5.321,-0.167,3.352,0.549,0.041,1.499,-0.048,87.245,0.306,-0.724,0.420,0.552,95.256,-2.451
5.573,-0.164,3.350,0.542,0.041,1.499,-0.050,87.302,0.521,-0.681,0.412,0.546,98.009,-2.458
5.825,-0.172,3.353,0.529,0.032,1.497,-0.051,87.362,0.903,-0.573,0.401,0.536,100.770,-2.471
6.076,-0.189,3.360,0.522,0.048,1.497,-0.045,87.422,1.336,-0.308,0.412,0.526,103.544,-2.478
6.328,-0.216,3.369,0.524,0.049,1.497,-0.046,87.478,1.925,-0.064,0.424,0.523,106.325,-2.476
6.580,-0.244,3.373,0.532,0.072,1.497,-0.032,87.530,2.465,-0.079,0.432,0.527,109.105,-2.468
6.831,-0.270,3.372,0.541,0.061,1.496,-0.019,87.579,2.775,-0.187,0.436,0.536,111.877,-2.459
7.083,-0.291,3.362,0.545,0.056,1.495,-0.025,87.629,3.015,-0.494,0.447,0.543,114.639,-2.455
7.335,-0.301,3.348,0.548,0.056,1.494,-0.014,87.681,2.991,-0.828,0.442,0.546,117.397,-2.452
7.587,-0.307,3.332,0.552,0.045,1.496,-0.027,87.732,3.002,-1.099,0.449,0.551,120.150,-2.448
7.838,-0.308,3.316,0.553,0.044,1.494,-0.029,87.785,2.923,-1.381,0.451,0.553,122.900,-2.447
8.090,-0.308,3.305,0.553,0.036,1.494,-0.028,87.838,2.885,-1.466,0.456,0.553,125.648,-2.447
8.342,-0.307,3.301,0.551,0.036,1.493,-0.034,87.892,2.899,-1.362,0.464,0.552,128.397,-2.449
8.594,-0.308,3.302,0.547,0.049,1.493,-0.035,87.948,2.899,-1.225,0.470,0.550,131.147,-2.453
8.888,-0.310,3.305,0.538,0.059,1.492,-0.033,88.016,2.981,-1.124,0.482,0.543,134.454,-2.462
9.140,-0.312,3.307,0.530,0.045,1.493,-0.029,88.075,2.989,-1.101,0.470,0.535,137.218,-2.470
9.392,-0.314,3.308,0.530,0.060,1.491,-0.034,88.131,3.030,-1.098,0.479,0.530,139.990,-2.470
9.643,-0.315,3.307,0.538,0.057,1.494,-0.026,88.187,3.004,-1.197,0.478,0.534,142.947,-2.462
9.895,-0.314,3.300,0.544,0.061,1.492,-0.025,88.237,2.950,-1.415,0.477,0.541,145.712,-2.456
10.146,-0.310,3.289,0.546,0.060,1.494,-0.021,88.289,2.810,-1.741,0.475,0.545,148.472,-2.454
10.398,-0.305,3.274,0.552,0.058,1.492,-0.032,88.340,2.770,-2.053,0.482,0.549,151.227,-2.448
10.649,-0.297,3.252,0.558,0.054,1.490,-0.035,88.390,2.615,-2.775,0.482,0.555,153.977,-2.442
10.901,-0.293,3.232,0.567,0.037,1.491,-0.037,88.440,2.646,-2.943,0.478,0.562,156.719,-2.433
11.153,-0.290,3.217,0.583,0.041,1.492,-0.035,88.486,2.687,-2.992,0.482,0.574,159.451,-2.417
11.404,-0.290,3.210,0.596,0.038,1.493,-0.034,88.531,2.718,-2.877,0.476,0.589,162.166,-2.404
11.656,-0.292,3.207,0.606,0.049,1.494,-0.034,88.577,2.836,-2.793,0.468,0.601,164.867,-2.394
11.908,-0.296,3.208,0.616,0.055,1.493,-0.034,88.624,2.910,-2.730,0.470,0.610,167.556,-2.384
12.160,-0.298,3.209,0.626,0.046,1.495,-0.020,88.671,2.864,-2.679,0.456,0.621,170.234,-2.374
12.411,-0.298,3.210,0.633,0.052,1.494,-0.032,88.718,2.816,-2.681,0.457,0.629,172.901,-2.367
12.663,-0.295,3.210,0.640,0.053,1.497,-0.036,88.766,2.754,-2.691,0.430,0.636,175.559,-2.360
12.915,-0.293,3.205,0.644,0.066,1.497,-0.037,88.814,2.723,-2.903,0.420,0.642,178.210,-2.356
13.166,-0.293,3.196,0.642,0.053,1.504,-0.029,88.866,2.771,-3.124,0.388,0.643,180.857,-2.358
13.418,-0.297,3.184,0.634,0.054,1.497,-0.042,88.920,2.923,-3.367,0.388,0.638,183.506,-2.366
13.670,-0.303,3.171,0.622,0.051,1.501,-0.040,88.978,3.094,-3.608,0.372,0.628,186.164,-2.378
13.922,-0.313,3.158,0.611,0.042,1.501,-0.038,89.036,3.385,-3.767,0.368,0.617,188.834,-2.389
14.173,-0.327,3.147,0.603,0.051,1.499,-0.037,89.094,3.718,-3.919,0.378,0.607,191.516,-2.397
14.425,-0.341,3.141,0.591,0.038,1.502,-0.019,89.152,3.879,-3.859,0.368,0.598,194.208,-2.409
14.677,-0.352,3.138,0.579,0.052,1.501,-0.018,89.212,4.000,-3.846,0.378,0.586,196.912,-2.421
14.929,-0.356,3.138,0.566,0.049,1.498,-0.020,89.272,3.960,-3.750,0.384,0.573,199.631,-2.434
15.180,-0.356,3.142,0.561,0.045,1.498,-0.026,89.330,3.812,-3.625,0.424,0.564,202.362,-2.439
15.432,-0.353,3.147,0.566,0.054,1.496,-0.032,89.388,3.697,-3.524,0.418,0.563,205.281,-2.434
15.684,-0.346,3.153,0.577,0.052,1.496,-0.029,89.436,3.509,-3.440,0.435,0.572,208.014,-2.423
15.935,-0.339,3.154,0.592,0.063,1.496,-0.031,89.483,3.413,-3.497,0.436,0.584,210.734,-2.408
16.187,-0.334,3.149,0.608,0.072,1.497,-0.037,89.527,3.371,-3.800,0.443,0.599,213.440,-2.392
16.439,-0.333,3.135,0.631,0.054,1.495,-0.038,89.568,3.442,-4.120,0.450,0.619,216.125,-2.369
16.691,-0.336,3.118,0.655,0.047,1.496,-0.030,89.607,3.639,-4.473,0.442,0.642,218.787,-2.345
16.943,-0.344,3.102,0.681,0.050,1.494,-0.036,89.644,3.893,-4.702,0.463,0.667,221.421,-2.319
17.194,-0.353,3.089,0.708,0.041,1.492,-0.022,89.680,4.075,-4.804,0.475,0.694,224.026,-2.292
17.446,-0.360,3.080,0.730,0.042,1.490,-0.027,89.716,4.165,-4.810,0.482,0.718,226.601,-2.270
17.698,-0.362,3.076,0.750,0.052,1.490,-0.021,89.755,4.095,-4.787,0.492,0.739,229.152,-2.250
17.950,-0.360,3.076,0.766,0.049,1.491,-0.023,89.793,3.941,-4.721,0.493,0.758,231.680,-2.234
18.201,-0.353,3.076,0.774,0.058,1.489,-0.027,89.836,3.750,-4.722,0.499,0.770,234.191,-2.226
18.453,-0.345,3.079,0.780,0.045,1.491,-0.029,89.881,3.558,-4.664,0.501,0.777,236.691,-2.220
18.705,-0.336,3.082,0.784,0.048,1.490,-0.030,89.926,3.387,-4.553,0.500,0.782,239.184,-2.216
18.957,-0.328,3.090,0.782,0.046,1.492,-0.030,89.974,3.307,-4.387,0.499,0.783,241.674,-2.218
19.208,-0.322,3.098,0.776,0.054,1.490,-0.037,90.025,3.206,-4.255,0.501,0.780,244.165,-2.224
19.460,-0.319,3.105,0.765,0.058,1.488,-0.040,90.078,3.261,-4.144,0.498,0.771,246.663,-2.235
19.712,-0.321,3.108,0.752,0.057,1.491,-0.035,90.134,3.367,-4.183,0.501,0.759,249.173,-2.248
19.963,-0.327,3.107,0.735,0.055,1.491,-0.038,90.192,3.528,-4.281,0.505,0.744,251.697,-2.265
20.215,-0.338,3.105,0.720,0.051,1.489,-0.045,90.251,3.894,-4.308,0.499,0.728,254.240,-2.280
20.467,-0.353,3.100,0.707,0.055,1.490,-0.026,90.309,4.217,-4.413,0.489,0.714,256.799,-2.293
20.719,-0.368,3.095,0.692,0.047,1.486,-0.025,90.367,4.432,-4.445,0.515,0.701,259.374,-2.308
20.971,-0.380,3.089,0.676,0.049,1.490,-0.024,90.426,4.652,-4.626,0.525,0.685,261.964,-2.324
21.222,-0.387,3.083,0.660,0.051,1.485,-0.024,90.490,4.564,-4.650,0.535,0.668,264.748,-2.340
21.474,-0.388,3.080,0.650,0.050,1.486,-0.016,90.549,4.508,-4.656,0.550,0.655,267.375,-2.350
21.726,-0.383,3.078,0.641,0.049,1.483,-0.015,90.606,4.240,-4.621,0.569,0.645,270.014,-2.359
21.978,-0.371,3.079,0.639,0.044,1.481,-0.023,90.661,3.937,-4.619,0.594,0.640,272.662,-2.361
22.230,-0.355,3.081,0.638,0.049,1.483,-0.021,90.713,3.586,-4.573,0.615,0.639,275.313,-2.362
22.481,-0.336,3.086,0.641,0.049,1.480,-0.026,90.764,3.216,-4.459,0.622,0.639,277.965,-2.359
22.733,-0.320,3.088,0.652,0.059,1.477,-0.036,90.812,3.002,-4.472,0.642,0.646,280.613,-2.348
22.985,-0.308,3.090,0.673,0.049,1.477,-0.043,90.855,2.894,-4.477,0.648,0.662,283.249,-2.327
23.236,-0.303,3.090,0.699,0.051,1.479,-0.038,90.893,3.012,-4.513,0.638,0.685,285.862,-2.301
23.488,-0.304,3.092,0.725,0.045,1.478,-0.039,90.928,3.194,-4.428,0.630,0.711,288.447,-2.275
