Time, X, Y, Z, Pitch, Yaw, Roll, errorHeight, errorRoll, errorPitch, errorYaw, HLeadOut, HIntegralOut, HeightError
------------------------[Parameters]------------------------
HOVER_VALUE, ctrl_x->ref, ctrl_y->ref, ctrl_yaw->ref, ctrl_h->ref, ctrl_h->kp, ctrl_h->tau_i, ctrl_h->tau_d, ctrl_h->alpha, ctrl_vel_x->tau_i, ctrl_vel_x->tau_d, ctrl_vel_x->alpha
430.000, 0.049, 1.413, -3.118, 4.000, 16.411, 0.000, 0.000, 0.000, 0.000, 0.347, 0.300, 
------------------------[Parameters]------------------------
0.252,0.049,1.413,0.423,0.012,-3.123,-0.020,452.452,-0.002,-0.004,0.019,0.423,0.000,-3.577
0.505,0.045,1.413,0.423,0.024,-3.126,-0.020,452.214,-0.006,-0.192,0.038,0.423,0.000,-3.577
0.757,0.045,1.408,0.439,0.036,-3.118,0.004,450.516,-0.156,-0.137,0.028,0.438,0.000,-3.561
1.008,0.027,1.397,0.525,0.068,-3.122,0.018,443.409,-0.699,-0.949,0.046,0.516,0.000,-3.475
1.260,-0.009,1.375,0.668,0.034,-3.123,0.009,443.455,-1.120,-1.662,0.085,0.657,0.000,-3.332
1.512,-0.059,1.344,0.854,0.016,-3.126,-0.011,437.503,-2.054,-3.086,0.077,0.841,0.000,-3.146
1.764,-0.107,1.313,1.049,0.005,-3.125,-0.025,439.557,-2.353,-3.600,0.067,1.036,0.000,-2.951
2.016,-0.145,1.291,1.235,0.002,-3.125,-0.036,441.687,-2.449,-3.881,0.072,1.224,0.000,-2.765
2.268,-0.170,1.283,1.405,-0.000,-3.125,-0.041,442.465,-2.328,-3.985,0.090,1.395,0.000,-2.595
2.522,-0.181,1.291,1.564,-0.010,-3.126,-0.038,442.960,-1.776,-3.793,0.095,1.564,0.000,-2.436
2.774,-0.178,1.314,1.716,0.005,-3.124,-0.021,442.956,-1.065,-3.462,0.091,1.716,0.000,-2.284
3.025,-0.162,1.345,1.860,0.006,-3.129,-0.018,436.986,-0.032,-2.734,0.120,1.860,0.000,-2.140
3.277,-0.140,1.380,2.004,0.019,-3.132,-0.009,443.535,0.285,-2.472,0.140,1.999,0.000,-1.996
3.529,-0.118,1.411,2.135,0.031,-3.131,-0.000,444.496,0.658,-2.116,0.134,2.130,0.000,-1.865
3.781,-0.102,1.433,2.266,0.030,-3.132,0.003,442.717,0.923,-1.896,0.162,2.262,0.000,-1.734
4.033,-0.093,1.446,2.393,0.036,-3.131,-0.000,444.352,0.801,-2.002,0.154,2.389,0.000,-1.607
4.285,-0.093,1.452,2.517,0.036,-3.132,-0.001,442.083,0.679,-2.233,0.161,2.512,0.000,-1.483
4.536,-0.102,1.453,2.638,0.034,-3.131,-0.010,444.695,0.711,-2.536,0.152,2.634,0.000,-1.362
4.789,-0.118,1.451,2.749,0.032,-3.131,-0.004,444.257,0.554,-3.042,0.158,2.749,0.000,-1.251
5.040,-0.140,1.449,2.875,0.018,-3.128,-0.014,445.028,0.502,-3.497,0.145,2.871,0.000,-1.125
5.293,-0.162,1.450,2.992,0.014,-3.128,-0.019,445.405,0.558,-3.770,0.120,2.988,0.000,-1.008
5.544,-0.179,1.455,3.113,0.013,-3.134,-0.031,444.842,0.883,-3.937,0.125,3.109,0.000,-0.887
5.797,-0.193,1.465,3.232,0.017,-3.125,-0.004,445.386,0.967,-4.074,0.103,3.229,0.000,-0.768
6.048,-0.200,1.479,3.355,0.013,-3.125,-0.010,445.257,1.257,-4.100,0.091,3.348,0.000,-0.645
6.300,-0.201,1.492,3.472,0.010,-3.122,-0.013,445.553,1.434,-4.018,0.072,3.464,0.000,-0.528
6.552,-0.197,1.506,3.589,0.010,-3.120,-0.011,445.728,1.639,-3.834,0.052,3.581,0.000,-0.411
6.804,-0.190,1.519,3.708,0.023,-3.126,-0.020,445.361,1.871,-3.679,0.078,3.700,0.000,-0.292
7.056,-0.183,1.533,3.824,0.021,-3.128,-0.017,445.605,2.078,-3.524,0.092,3.816,0.000,-0.176
7.308,-0.178,1.546,3.940,0.029,-3.131,-0.024,445.534,2.310,-3.487,0.115,3.932,0.000,-0.060
7.560,-0.175,1.560,4.051,0.025,-3.127,-0.016,400.906,2.494,-3.506,0.117,4.044,0.000,0.051
7.812,-0.175,1.572,4.122,0.027,-3.122,-0.011,404.305,2.711,-3.519,0.088,4.119,0.000,0.122
8.064,-0.178,1.582,4.114,0.026,-3.120,-0.009,408.990,2.750,-3.628,0.050,4.114,0.000,0.114
8.316,-0.182,1.589,4.036,0.028,-3.117,-0.014,413.079,2.858,-3.755,0.028,4.036,0.000,0.036
8.568,-0.188,1.594,3.902,0.019,-3.113,-0.011,460.514,2.820,-3.931,-0.028,3.902,0.000,-0.098
8.820,-0.196,1.597,3.772,0.023,-3.104,-0.010,459.751,2.767,-4.158,-0.098,3.776,0.000,-0.228
9.072,-0.205,1.599,3.682,0.021,-3.102,-0.012,457.421,2.818,-4.293,-0.173,3.685,0.000,-0.318
9.324,-0.217,1.602,3.624,0.026,-3.099,-0.008,455.283,2.848,-4.541,-0.205,3.625,0.000,-0.376
9.575,-0.230,1.604,3.594,0.011,-3.100,-0.020,453.500,2.892,-4.718,-0.226,3.595,0.000,-0.406
9.828,-0.244,1.608,3.592,0.025,-3.101,-0.022,452.278,2.897,-5.043,-0.234,3.592,0.000,-0.408
10.080,-0.256,1.611,3.606,0.015,-3.094,-0.007,451.353,2.957,-5.199,-0.266,3.605,0.000,-0.394
10.332,-0.266,1.614,3.637,0.007,-3.094,-0.011,450.347,2.965,-5.301,-0.274,3.635,0.000,-0.363
10.584,-0.270,1.617,3.682,0.012,-3.091,-0.010,449.734,2.969,-5.308,-0.269,3.680,0.000,-0.318
10.884,-0.269,1.621,3.755,0.015,-3.100,-0.018,448.688,3.080,-5.164,-0.237,3.753,0.000,-0.245
11.136,-0.264,1.624,3.827,0.015,-3.103,-0.021,448.051,3.232,-4.936,-0.199,3.825,0.000,-0.173
11.388,-0.257,1.629,3.909,0.015,-3.101,-0.029,447.629,3.273,-4.811,-0.188,3.906,0.000,-0.091
11.640,-0.251,1.635,4.001,0.025,-3.106,-0.026,428.277,3.404,-4.760,-0.164,3.995,0.000,0.001
11.892,-0.246,1.644,4.079,0.023,-3.103,-0.023,403.546,3.590,-4.664,-0.142,4.075,0.000,0.079
12.144,-0.243,1.654,4.092,0.023,-3.108,-0.023,407.729,3.821,-4.682,-0.131,4.093,0.000,0.092
12.396,-0.242,1.663,4.036,0.021,-3.109,-0.017,411.629,3.980,-4.709,-0.123,4.042,0.000,0.036
12.648,-0.240,1.673,3.921,0.015,-3.104,-0.011,460.105,4.100,-4.634,-0.129,3.930,0.000,-0.079
12.900,-0.240,1.681,3.803,0.025,-3.107,-0.014,458.944,4.295,-4.653,-0.144,3.810,0.000,-0.197
13.152,-0.241,1.686,3.719,0.024,-3.097,-0.004,456.906,4.195,-4.774,-0.182,3.723,0.000,-0.281
13.403,-0.247,1.687,3.665,0.030,-3.102,-0.011,455.282,4.115,-4.941,-0.220,3.668,0.000,-0.335
13.655,-0.255,1.686,3.640,0.020,-3.095,-0.008,453.442,4.018,-5.149,-0.253,3.640,0.000,-0.360
13.907,-0.268,1.683,3.639,0.025,-3.095,-0.014,452.081,3.934,-5.441,-0.262,3.639,0.000,-0.361
14.159,-0.282,1.682,3.658,0.018,-3.096,-0.020,450.834,3.939,-5.658,-0.237,3.658,0.000,-0.342
14.411,-0.296,1.684,3.691,0.012,-3.097,-0.023,450.183,4.097,-5.877,-0.223,3.689,0.000,-0.309
14.663,-0.309,1.692,3.732,0.022,-3.105,-0.028,449.825,4.295,-6.073,-0.196,3.730,0.000,-0.268
14.915,-0.316,1.703,3.785,0.010,-3.107,-0.026,449.187,4.597,-6.092,-0.151,3.783,0.000,-0.215
15.167,-0.322,1.718,3.842,0.017,-3.108,-0.021,449.248,4.797,-6.192,-0.130,3.840,0.000,-0.158
15.419,-0.321,1.734,3.903,0.001,-3.108,-0.021,448.338,5.255,-5.907,-0.141,3.902,0.000,-0.097
15.671,-0.314,1.747,3.969,0.012,-3.108,-0.012,448.578,5.346,-5.710,-0.103,3.967,0.000,-0.031
15.923,-0.301,1.757,4.028,0.019,-3.111,-0.015,407.603,5.529,-5.407,-0.102,4.026,0.000,0.028
16.175,-0.287,1.763,4.043,0.021,-3.112,-0.008,407.709,5.459,-5.140,-0.087,4.044,0.000,0.043
16.427,-0.274,1.765,3.976,0.020,-3.109,-0.012,449.991,5.388,-4.985,-0.096,3.980,0.000,-0.024
16.679,-0.264,1.763,3.866,0.024,-3.106,-0.011,459.489,5.281,-4.905,-0.117,3.869,0.000,-0.134
16.930,-0.257,1.759,3.765,0.026,-3.104,-0.014,458.113,5.129,-4.841,-0.140,3.769,0.000,-0.235
17.183,-0.254,1.751,3.687,0.025,-3.096,-0.007,456.040,4.861,-4.916,-0.218,3.691,0.000,-0.313
17.436,-0.258,1.742,3.634,0.030,-3.096,-0.016,455.907,4.749,-5.094,-0.281,3.638,0.000,-0.366
17.688,-0.268,1.733,3.599,0.023,-3.087,-0.018,454.151,4.546,-5.436,-0.319,3.600,0.000,-0.401
17.941,-0.282,1.726,3.579,0.016,-3.092,-0.030,453.453,4.506,-5.702,-0.351,3.580,0.000,-0.421
18.193,-0.295,1.727,3.567,0.017,-3.084,-0.025,453.022,4.609,-5.959,-0.374,3.568,0.000,-0.433
18.445,-0.306,1.734,3.562,0.011,-3.084,-0.024,452.548,4.846,-6.092,-0.394,3.562,0.000,-0.438
18.697,-0.312,1.747,3.564,0.008,-3.082,-0.019,452.103,5.175,-6.144,-0.410,3.564,0.000,-0.436
18.950,-0.315,1.762,3.569,0.011,-3.081,-0.013,452.047,5.487,-6.098,-0.430,3.569,0.000,-0.431
19.202,-0.312,1.778,3.578,0.008,-3.078,-0.009,452.059,5.681,-6.008,-0.447,3.578,0.000,-0.422
19.454,-0.307,1.790,3.588,0.008,-3.079,-0.002,451.186,5.988,-5.730,-0.446,3.588,0.000,-0.412
19.706,-0.296,1.796,3.601,0.010,-3.078,-0.004,451.650,5.805,-5.593,-0.458,3.601,0.000,-0.399
19.958,-0.283,1.796,3.613,0.015,-3.077,-0.003,451.478,5.696,-5.244,-0.467,3.613,0.000,-0.387
20.211,-0.270,1.792,3.628,0.023,-3.075,-0.004,451.604,5.489,-5.100,-0.469,3.628,0.000,-0.372
20.463,-0.261,1.787,3.641,0.030,-3.077,-0.014,451.624,5.424,-5.023,-0.469,3.641,0.000,-0.359
20.715,-0.259,1.782,3.655,0.031,-3.076,-0.017,451.438,5.377,-5.142,-0.471,3.655,0.000,-0.345
20.968,-0.265,1.781,3.669,0.029,-3.077,-0.020,451.602,5.418,-5.443,-0.478,3.669,0.000,-0.331
21.220,-0.278,1.783,3.683,0.019,-3.075,-0.015,451.500,5.464,-5.783,-0.474,3.682,0.000,-0.317
21.472,-0.295,1.786,3.698,0.022,-3.072,-0.006,451.451,5.515,-6.166,-0.501,3.698,0.000,-0.302
21.725,-0.313,1.789,3.713,0.015,-3.075,-0.010,451.245,5.585,-6.493,-0.494,3.712,0.000,-0.287
21.977,-0.330,1.792,3.729,0.010,-3.075,-0.016,451.244,5.588,-6.817,-0.459,3.729,0.000,-0.271
22.228,-0.346,1.795,3.749,0.013,-3.074,-0.008,450.594,5.662,-7.010,-0.476,3.748,0.000,-0.251
22.481,-0.357,1.797,3.771,0.010,-3.077,-0.010,450.779,5.711,-6.970,-0.493,3.770,0.000,-0.229
22.733,-0.365,1.797,3.794,0.010,-3.073,-0.008,450.992,5.611,-7.041,-0.497,3.792,0.000,-0.206
22.985,-0.367,1.794,3.816,0.009,-3.075,-0.011,451.014,5.473,-6.999,-0.498,3.815,0.000,-0.184
